source	category	name	rarity	mechanic
cryptid	joker	M Chain	Common	Sell this card to add $1 of sell value to every Joker card
cryptid	joker	Garden of Forking Paths	Rare	Earns $7 if played hand contains an Ace and a 7
cryptid	joker	Light Up The Night	Rare	Each played 7 or 2 gives X1.5 Mult when scored
cryptid	joker	No Sound, No Memory	Rare	Retriggers each played 7, 3 additional times
cryptid	joker	...Like Antennas to Heaven	Rare	Gains X0.1 Chips when each played 7 or 4 is scored
cryptid	joker	Negative Joker	Epic	+4 Joker slots
cryptid	joker	Chad	Rare	Retriggers leftmost Joker 2 additional times
cryptid	joker	ERROR	Epic	Adds Glitched to all cards, vouchers, and consumables in the shop at end of round; after 1-10 random rounds, selling it duplicates all owned Jokers
cryptid	joker	Celestial Globe	Rare	Gains X0.2 Chips if poker hand matches a rotating hand type (changes each time it increases)
cryptid	joker	Wheel of Hope	Uncommon	Gains X0.5 Mult when failing a Wheel of Fortune
cryptid	joker	Bonus Joker	Epic	1 in 8 chance per played Bonus card scored to increase Joker or Consumable slots by 1, up to twice per round
cryptid	joker	Fractal Fingers	Rare	+2 card selection limit
cryptid	joker	Fidget Spinner	Common	+6 Chips if played hand is not your most-played hand
cryptid	joker	Nostalgic Invisible Joker	Legendary	Duplicates a random Joker every 4 Jokers sold (excluding itself)
cryptid	joker	SUS	Rare	At end of round, creates a copy of a random card held in hand and destroys all others (Kings of Hearts prioritized)
cryptid	joker	Consume-able	Uncommon	Earns $3 when using a consumable
cryptid	joker	Gold Joker	Epic	Earns 0% of total money at end of round, +2% payout per played Gold card scored
cryptid	joker	Sob	Epic	Creates a Negative Absolute Obelisk when acquired, and a regular Obelisk whenever almost anything happens while an open Joker slot exists
cryptid	joker	Old Blueprint	Common	Copies the ability of the Joker to the right; 1 in 4 chance it is destroyed at end of round
cryptid	joker	Nice	Rare	+420 Chips if played hand contains a 6 and a 9
cryptid	joker	Waluigi	Legendary	All Jokers give X2.5 Mult
cryptid	joker	Wario	Legendary	All Jokers give $3 when triggered
cryptid	joker	The Filler	Rare	X1 Mult if played hand contains a High Card
cryptid	joker	The Duos	Rare	X2.5 Mult if played hand contains a Two Pair
cryptid	joker	The Home	Rare	X3.5 Mult if played hand contains a Full House
cryptid	joker	The Nuts	Rare	X5 Mult if played hand contains a Straight Flush
cryptid	joker	The Quintet	Rare	X5 Mult if played hand contains a Five of a Kind
cryptid	joker	The Unity	Rare	X9 Mult if played hand contains a Flush House
cryptid	joker	The Swarm	Rare	X9 Mult if played hand contains a Flush Five
cryptid	joker	Fridge Magnet	Common	Earns $2 at end of round, X5 that amount if 4 or fewer Joker cards owned
cryptid	joker	Red Bloon	Common	Earns $20 after 2 rounds, then self-destructs
cryptid	joker	Weebonacci	Rare	+3 Mult when each played Ace, 2, 3, 5, or 8 is scored
cryptid	joker	Mult Joker	Epic	1 in 3 chance per played Mult card scored to create a Cryptid card (must have room)
cryptid	joker	Eternal Flame	Rare	Gains X0.2 Mult for each card sold
cryptid	joker	Seal The Deal	Uncommon	Adds a random seal to each card scored on the final hand of the round
cryptid	joker	Unjust Dagger	Uncommon	When Blind is selected, destroys Joker to the left and gains one-fifth of its sell value as XMult
cryptid	joker	Pirate Dagger	Uncommon	When Blind is selected, destroys Joker to the right and gains one-fourth of its sell value as XChips
cryptid	joker	Pot of Jokes	Rare	-2 hand size, increasing by 1 every round
cryptid	joker	Big Cube	Common	X6 Chips
cryptid	joker	Caramel	Epic	Each played card gives X1.75 Mult when scored, for the next 11 rounds
cryptid	joker	On the Flip Side	Uncommon	Double-Sided Jokers use their back side's effect instead of the front; retriggers all Double-Sided Jokers
cryptid	joker	Bonkers Joker	Common	+20 Mult if played hand contains a Bulwark
cryptid	joker	Fucked-Up Joker/Tidy Joker	Common	+37 Mult if played hand contains a Clusterfuck/Cluster
cryptid	joker	Foolhardy Joker	Common	+42 Mult if played hand contains an Ultimate Pair
cryptid	joker	Undefined Joker	Common	+5 Mult if played hand is None
cryptid	joker	Words Can't Even Begin to Describe This Joker	Common	X52,000,000 Mult if played hand contains The Entire Fucking Deck/The Entire Deck
cryptid	joker	Adroit Joker	Common	+170 Chips if played hand contains a Bulwark
cryptid	joker	Penetrating Joker	Common	+270 Chips if played hand contains a Clusterfuck/Cluster
cryptid	joker	Treacherous Joker	Common	+170 Chips if played hand contains an Ultimate Pair
cryptid	joker	Nebulous Joker	Common	+30 Chips if played hand is None
cryptid	joker	Many Have Lost Their Minds Comprehending This Joker	Common	+8.07e67 Chips if played hand contains The Entire Fucking Deck/The Entire Deck
cryptid	joker	The Stronghold	Rare	X5 Mult if played hand contains a Bulwark
cryptid	joker	The Fuck!?/The Cluster	Rare	X10 Mult if played hand contains a Clusterfuck/Cluster
cryptid	joker	The Clash	Rare	X12 Mult if played hand contains an Ultimate Pair
cryptid	joker	The	Rare	X2 Mult if played hand is None
cryptid	joker	The Complete and Utter Annihilation of Everything That Makes Balatro Sacred	Rare	^5.2 Mult if played hand contains The Entire Fucking Deck/The Entire Deck
cryptid	joker	Universe	Rare	Other Astral cards each give ^1.2 Mult
cryptid	joker	Astral in a Bottle	Uncommon	When sold, applies Astral (and Perishable, gameset-dependent, possibly to two separate Jokers) to a random Joker
cryptid	joker	Exposed	Rare	Retriggers all scored non-face cards 2 additional times; all face cards are debuffed
cryptid	joker	Mask	Rare	Retriggers all scored face cards 3 additional times; all non-face cards are debuffed
cryptid	joker	Tropical Smoothie	Rare	Sell this card to multiply the values of owned Jokers by 1.5
cryptid	joker	Necromancer	Uncommon	When a Joker is sold for more than $0, gain a random Joker sold this run that had $0 sell value
cryptid	joker	Oil Lamp	Rare	Increases the values of the Joker to the right by X1.2 at end of round
cryptid	joker	Tax Fraud	Rare	Gains $6 per Rental Joker owned at end of round
cryptid	joker	Pity Prize	Common	On skipping a Booster Pack, gain a random Tag
cryptid	joker	Digital Hallucinations	Uncommon	When a Booster Pack is opened, 1 in 2 chance to create a random Negative card matching its type
cryptid	joker	Cotton Candy	Candy	When sold, adjacent Jokers become Negative
cryptid	joker	Wrapped Candy	Candy	Creates a random Food Joker after 2 rounds, then self-destructs
cryptid	joker	Arsonist	Rare	If played hand contains a Full House, destroys all cards after scoring
cryptid	joker	Chocolate Die	Rare	Rolls a d10 when Boss Blind is defeated to start a random event
cryptid	joker	Zooble	Uncommon	If played hand does not contain a Straight, gains +1 Mult per unique rank in the scoring hand
cryptid	joker	Clicked Cookie	Common	+200 Chips, -1 Chips each time you click it
cryptid	joker	Spectrogram	Epic	Retriggers rightmost Joker once for every Echo card played and scored
cryptid	joker	Kitty Printer	Uncommon	X2 Mult; all skip tags become Cat Tags
cryptid	joker	LeBaron James	Rare	Played and scoring Kings give +1 hand size and trigger held-in-hand effects
cryptid	joker	Trick-or-Treat	Uncommon	When sold, 3 in 4 chance to create 2 Candies, otherwise creates a Cursed Joker (can overflow)
cryptid	joker	Hunting Season	Uncommon	If played hand contains exactly 3 cards, destroys the center card after scoring
cryptid	joker	Candy Basket	Uncommon	Sell this card to create 0 Candies; +1 Candy every 2 Blinds defeated, +2 Candies when a Boss Blind is defeated
cryptid	joker	Clockwork Joker	Epic	Retriggers held Steel cards every 2(1) hands, gains X0.25(X1) Mult every 3(2) hands, turns the first played card Steel every 5(4) hands, held Steel cards give +X0.1 Mult(X1) every 7(6) hands; triggering all four at once creates a copy of itself
cryptid	joker	Blacklist	Cursed	If a chosen rank is held or played, sets Chips and Mult to 0; self-destructs if no cards of that rank remain in the deck
cryptid	joker	Rotten Egg	Cursed	Sets sell value of all current and future Jokers to $1, reduces all Joker sell values by $1, and self-destructs after earning $10 total from Joker sales
cryptid	joker	High Five	Rare	If highest scoring rank is 5, converts all scoring cards into 5s (Aces count as 1)
cryptid	joker	Familiar Currency	Rare	Creates a Meme Joker at end of round for $19 if possible (must have room)
cryptid	joker	Sock and Sock	Uncommon	Retriggers all played Abstract cards 1 time
cryptid	joker	Candy Dagger	Uncommon	When Blind is selected, destroys Joker to the left to create a Candy
cryptid	joker	Broken House	Rare	X11.4 Mult; 1 in 4 chance it is destroyed at end of round
cryptid	joker	Candy Cane	Candy	For the next 11 rounds, playing cards give $4 when retriggered
cryptid	joker	Candy Buttons	Candy	The next 15 shop rerolls cost $1 each
cryptid	joker	Pizza	Rare	After 3 rounds, sells itself to create 6 Pizza Slices
cryptid	joker	Pizza Slice	Rare	Gains X0.5 Mult when a Pizza Slice is sold
cryptid	joker	Jawbreaker	Candy	When Boss Blind is defeated, doubles the values of adjacent Jokers, then self-destructs
cryptid	joker	Mellowcreme	Candy	Sell this card to multiply the sell value of all consumables by X4
cryptid	joker	Paved Joker	Common	Stone Cards may fill gaps of 1 rank in Straights and Flushes
cryptid	joker	Fading Joker	Uncommon	Gains X1 Mult whenever a Perishable card is debuffed
cryptid	joker	Brittle Candy	Candy	For the next 9 hands, adds Stone, Gold, or Steel to the rightmost scoring card
cryptid	joker	Monopoly Money	Cursed	1 in 4 chance to destroy purchased items; halves money when sold
cryptid	joker	Poor Joker	Uncommon	Gains +4 Mult whenever a Rental card takes money from you
cryptid	joker	Thalia and Melpomeme	Legendary	X1 Mult for every pair of unique rarities among owned Jokers
cryptid	joker	Broken Sync Catalyst	Rare	Swaps 10% of Chips with 10% of Mult
cryptid	joker	Candy Sticks	Candy	The next Boss Blind's effect isn't active until you've played 1 hand
cryptid	joker	Key Change	Uncommon	Gains X0.25 Mult if the current poker hand has not been played this round, resetting at end of round
cryptid	joker	Wonka Bar	Candy	Sell this card to permanently gain +1 card selection limit
cryptid	joker	Emergency Chips	Common	Immediately gains 20% of the blind requirement as score when sold
cryptid	joker	Flesh Panopticon	Epic	X20 Boss Blind size; when Boss Blind is defeated, self-destructs and creates a Negative Gateway card
cryptid	joker	Buttercup	Candy	Can store 1 selected shop item; when sold, adds the stored item to the next shop
cryptid	joker	M	Epic	Creates a Negative Jolly Joker when Blind is selected
cryptid	joker	Bubble M	Common	Creates a Foil Jolly Joker if played hand contains a Three of a Kind, then self-destructs
cryptid	joker	Fast Food M	Common	+40 Mult, self-destructs in 2 rounds, increased by 1 round each time a Jolly Joker is sold
cryptid	joker	M Stack	Rare	Retriggers all played cards once for every 3 Jolly Jokers sold
cryptid	joker	Neon M	Uncommon	Earns $0 at end of round, +$1 more per Jolly Joker or M Joker owned
cryptid	joker	Motebook	Rare	1 in 7 chance per shop reroll to gain +1 Joker slot (always triggers with 4+ Jolly Jokers owned), once per round
cryptid	joker	Bonk	Uncommon	Each Joker gives +6 Chips, +1 more if poker hand is a Pair; Jolly Jokers give +18 Chips instead
cryptid	joker	Loopy	Common	Retriggers all Jokers once for each Jolly Joker sold this round
cryptid	joker	Scrabble Tile	Uncommon	1 in 4 chance to create a Jolly Uncommon Joker when a hand is played
cryptid	joker	Sacrifice	Common	Creates an Uncommon Joker and 3 Jolly Jokers when a Spectral card is used, once per round
cryptid	joker	Reverse Card	Uncommon	Fills all empty Joker slots (max 100) with Holographic Jolly Jokers if the discarded poker hand is a Pair, then self-destructs
cryptid	joker	Monster	Common	Future copies of this Joker gain X0.75 Mult at end of round
cryptid	joker	Megg	Common	Sell this card to create 0 Jolly Jokers, +1 more at end of round
cryptid	joker	Macabre Joker	Common	When Blind is selected, destroys every Joker except M Jokers and Jolly Jokers, creating a Jolly Joker for each destroyed card
cryptid	joker	Tiny	Epic	Creates a Double M tag if poker hand is a Pair
cryptid	joker	Virgo	Epic	Gains $4 of sell value if poker hand contains a Pair; sell this card to create a Polychrome Jolly Joker per $4 of sell value (min 1)
cryptid	joker	Doodle M	Epic	Creates 2 Negative consumables when Blind is selected, +1 more per Jolly Joker owned
cryptid	joker	Jolly Joker?	Common	Creates a Jolly Joker when a Joker is sold, once per round
cryptid	joker	Huge	Epic	X7 Mult until end of round if poker hand is a Pair
cryptid	joker	Demicolon	Epic	No effect (N/A)
cryptid	joker	Starfruit	Epic	^2 Mult, losing ^0.2 Mult per shop reroll
cryptid	joker	Code Joker	Epic	Creates a Negative Code Card when Blind is selected
cryptid	joker	Copy/Paste	Epic	1 in 2 chance to duplicate used Code cards, once per round (must have room)
cryptid	joker	Cut	Uncommon	Destroys a random Code card and gains X0.5 Mult at the end of the shop
cryptid	joker	Blender	Common	Creates a random consumable when a Code card is used (must have room)
cryptid	joker	Python	Uncommon	Gains X0.15 Mult when a Code card is used
cryptid	joker	Scalae	Exotic	Scaling Jokers scale as a degree-2 polynomial instead of linearly, raising the degree by 1 at end of round (excludes itself)
cryptid	joker	Iterum	Exotic	Retriggers all played cards 1 time; each played card gives X2 Mult when scored
cryptid	joker	Universum	Exotic	Poker hands gain X2 Mult and X2 Chips when leveled up
cryptid	joker	Stella Mortis	Exotic	Destroys a random Planet card and gains ^0.4 Mult at the end of the shop
cryptid	joker	Exponentia	Exotic	Gains ^0.03 Mult whenever XMult is triggered
cryptid	joker	Speculo	Exotic	Creates a Negative copy of a random Joker at the end of the shop (does not copy other Speculo)
cryptid	joker	Effarcire	Exotic	Draws the full deck to hand when Blind is selected
cryptid	joker	Redeo	Exotic	-1 Ante when a rising money threshold (starting at $10) is spent, doubling exponentially after each use
cryptid	joker	Tenebris	Exotic	+25 Joker slots; earns $25 at end of round
cryptid	joker	Crustulum	Exotic	Gains +4 Chips per shop reroll; all rerolls are free
cryptid	joker	Circulus Pistoris	Exotic	^pi Chips and ^pi Mult if exactly 3 hands remaining
cryptid	joker	Primus	Exotic	Gains ^0.17 Mult if all cards in played hand are Aces, 2s, 3s, 5s, or 7s
cryptid	joker	Ace Aequilibrium	Exotic	Jokers appear from the shop in Collection order; creates 2 Negative Jokers when a hand is played; Exotic-or-better Jokers cannot appear
cryptid	joker	Facile	Exotic	^3 Mult if played cards are scored 10 or fewer times
cryptid	joker	Energia	Exotic	When a Tag is acquired, creates 1 copy of it, with the number of copies increasing by 1 each time
cryptid	joker	Gemini	Exotic	Doubles all values of the leftmost Joker at end of round
cryptid	joker	Duplicare	Exotic	Gains X1 Mult when a Joker or playing card is scored
cryptid	joker	Non Verisimile	Exotic	When any probability check succeeds, gains XMult equal to its listed odds
cryptid	joker	Formidiulosus	Exotic	Destroys any Cursed Joker obtained, creates 3 Negative Candies at end of shop, and gains ^0.01 Mult per Candy owned
cryptid	joker	Caeruleum	Exotic	Adjacent chips/mult-modifying Jokers use the next-highest operator for scoring (+, then X, then ^), capped at exponentiation
cryptid	joker	Tredecim	Exotic	Creates an M Joker at end of round; each Jolly/M Joker gives ^1.05 Mult, increasing by ^0.04 each time a Jolly Joker is sold (excludes itself)
cryptid	joker	Mario	Legendary	Retriggers all Jokers 2 additional times (removed)
cryptid	joker	Luigi	Legendary	All Jokers give X3 Chips (removed)
cryptid	joker	Spy	Cursed	X0.5 Mult, +1 Joker slot; appears in shop disguised as another Joker and is revealed on purchase (removed)
cryptid	joker	Pumpkin	Rare	Prevents Death if chips scored are at least 50% of required chips; turns into Carved Pumpkin when destroyed (removed)
cryptid	joker	Carved Pumpkin	Rare	The next 5 Boss Blinds have their abilities disabled (removed)
cryptid	joker	Ghost	Cursed	At end of round, 1 in 2 chance to possess a random Joker, 1 in 6 chance to self-destruct (removed)
cryptid	deck	Very Fair Deck		-2 hands and -2 discards every round; Vouchers no longer appear in the shop
cryptid	deck	Infinite Deck		You can select any number of cards; +1 hand size
cryptid	deck	Deck of Equilibrium		All cards have the same chance of appearing in shops; starts run with Overstock Plus
cryptid	deck	Misprint Deck		Values of cards and poker hands are randomized
cryptid	deck	CCD Deck		Every card is also a random consumable
cryptid	deck	Wormhole Deck		Starts with an Exotic Joker; Jokers are 20X more likely to be Negative; -2 Joker slots
cryptid	deck	Conveyor Deck		Jokers may not be moved; at start of round, duplicates the rightmost Joker and destroys the leftmost Joker
cryptid	deck	Redeemed Deck		When a Voucher is purchased, also gain its extra tiers
cryptid	deck	Glowing Deck		Multiplies the values of all Jokers by X1.25 when Boss Blind is defeated
cryptid	deck	Critical Deck		After each hand played, 1 in 4 chance for ^2 Mult, 1 in 8 chance for ^0.5 Mult
cryptid	deck	Encoded Deck		Starts with a Code Joker and a Copy/Paste; only Code Cards appear in shop
cryptid	deck	Nostalgic Deck		Joker and Consumable slots are combined; Nostalgic Blinds replace their updated Blind
cryptid	deck	Bountiful Deck		After Play or Discard, always draw 5 cards
cryptid	deck	Beige Deck		Common Jokers have quadrupled values
cryptid	deck	Legendary Deck		Starts with a Legendary Joker; 1 in 5 chance to create another when Boss Blind is defeated (must have room)
cryptid	deck	Spooky Deck		Starts with an Eternal Chocolate Die; after each Ante, creates a Candy or Cursed Joker
cryptid	deck	Blank Deck		No effect
cryptid	deck	Antimatter Deck		Applies the upsides of every deck won with Gold Stake (Modest/Mainline) or every deck (Madness)
cryptid	deck	Edition Deck		All cards are a chosen Edition and cannot change editions
cryptid	deck	Enhancement Deck		All playing cards are a chosen Enhancement
cryptid	deck	Sticker Deck		All cards are a chosen Sticker
cryptid	deck	Suit Deck		All playing cards are a chosen Suit and cannot change suits
cryptid	deck	Seal Deck		All playing cards have a chosen Seal and cannot change seals
cryptid	sleeve	Very Fair Sleeve		-2 hands and -2 discards every round; Vouchers no longer appear in the shop
cryptid	sleeve	Unlimited Sleeve		You can select any number of cards
cryptid	sleeve	Balanced Sleeve		All cards have the same chance of appearing in shops; starts run with +2 Shop Slots
cryptid	sleeve	Misprinted Sleeve		Values in cards are randomized
cryptid	sleeve	CCD Sleeve		Every card is also a random consumable
cryptid	sleeve	Wormhole Sleeve		Starts with an Exotic Joker; Jokers are 20X more likely to be Negative; -2 Joker slots
cryptid	sleeve	Conveyor Sleeve		Jokers may not be moved; at start of round, duplicates the rightmost Joker and destroys the leftmost Joker
cryptid	sleeve	Redeemed Sleeve		When a Voucher is purchased, also gain its extra tiers
cryptid	sleeve	Glowing Sleeve		Multiplies the values of all Jokers by X1.25 when Boss Blind is defeated
cryptid	sleeve	Critical Sleeve		After each hand played, 1 in 4 chance for ^2 Mult, 1 in 8 chance for ^0.5 Mult
cryptid	sleeve	Encoded Sleeve		Starts with a Code Joker and a Copy/Paste; only Code Cards appear in shop
cryptid	sleeve	Nostalgic Sleeve		Joker and Consumable slots are combined; Nostalgic Blinds replace their updated Blind
cryptid	sleeve	Bountiful Sleeve		After Play or Discard, always draw 5 cards
cryptid	sleeve	Beige Sleeve		Common Jokers have quadrupled values, or Uncommon Jokers if paired with Beige Deck
cryptid	sleeve	Legendary Sleeve		Starts with a Legendary Joker; 1 in 5 chance to create another when Boss Blind is defeated (must have room)
cryptid	sleeve	Spooky Sleeve		Starts with an Eternal Chocolate Die; after each Ante, creates a Candy or Cursed Joker
cryptid	sleeve	Antimatter Sleeve		Applies the effects and special deck-pairing effects of all deck sleeves
cryptid	challenge	Ballin'		3 Joker slots; starts with 52 Stone Cards and an Eternal Jimball; bans Vampire and several tarots
cryptid	challenge	Enter the Gungeon		All Blinds are Boss Blinds and skipping is disabled; starts with an Eternal AP Joker
cryptid	challenge	Rush Hour I		All Boss Blinds are The Clock or Lavender Loop
cryptid	challenge	Dagger War		Starts with 2x Negative M Chain, 2x Negative Gift Card, and Eternal Ceremonial Dagger, Unjust Dagger, Monkey Dagger, and Pirate Dagger; Lock is banned
cryptid	challenge	Solo Card		Starts with $10 and a single Blue Seal Ace of Clubs plus a Popcorn Joker; many Jokers, packs, consumables, and tags are banned
cryptid	challenge	Rush Hour II		All Boss Blinds are The Clock or Lavender Loop, all Blinds are Boss Blinds, and skipping is disabled
cryptid	challenge	RNG		All Jokers are RNJoker
cryptid	challenge	Rush Hour III		All Boss Blinds are The Clock or Lavender Loop scaling twice as fast, all Blinds are Boss Blinds, and skipping is disabled; deck gets +1 Jack of each suit, starts with Negative Eternal Hit the Road
cryptid	challenge	Sticker Sheet		All Jokers are simultaneously Eternal, Perishable, Rental, Pinned, and Banana; many Jokers banned
cryptid	challenge	Sticker Sheet+		All purchasable items have every sticker applied; many Jokers banned
cryptid	challenge	Joker Poker		Skipping, rerolling, booster packs, and consumables are all disabled, 0 discards per round and 0 consumable slots; all Jokers that interact with those systems are banned
cryptid	card_modifier	Echo Card		1 in 2 chance to retrigger 2 additional times when scored
cryptid	card_modifier	Light Card		When played with 5 other scoring cards, gains X0.2 Mult and increases its requirement by 5
cryptid	card_modifier	Abstract Card		^1.15 Mult; counts as its own rank and suit; 1 in 4 chance to be destroyed when held at round end or after scoring
cryptid	card_modifier	Glitched		All values on this card are randomized between X0.1 and X10, where possible
cryptid	card_modifier	Mosaic		X2.5 Chips
cryptid	card_modifier	Oversaturated		All values on this card are doubled, where possible
cryptid	card_modifier	Fragile		X3 Mult; 7 in 8 chance this card isn't destroyed when triggered; unriggable
cryptid	card_modifier	Golden		Earns $2 when used or triggered
cryptid	card_modifier	Blurred		Retriggers this card 1 time, plus 1 in 2 chance to retrigger 1 additional time
cryptid	card_modifier	Noisy		+0-30 Mult and +0-150 Chips (random each time)
cryptid	card_modifier	Astral		^1.1 Mult
cryptid	card_modifier	Jolly		+8 Mult; changes the Joker's name to start with M
cryptid	card_modifier	Green Seal		Creates a Code card when played and unscoring (must have room)
cryptid	card_modifier	Azure Seal		Creates 3 Negative Planets for the played poker hand, then destroys this card
cryptid	card_modifier	Double-Sided		Card can be flipped to reveal a different (optionally merged) card on its back side (removed in v0.5.16b)
cryptid	poker_hand	None		0 Chips x 0 Mult; scored by playing a hand containing 0 cards
cryptid	poker_hand	Bulwark		100 Chips x 10 Mult; requires five rankless, suitless (Stone) cards
cryptid	poker_hand	Clusterfuck/Cluster		200 Chips x 19 Mult; requires at least eight cards containing no Pair, Flush, or Straight
cryptid	poker_hand	Ultimate Pair		220 Chips x 22 Mult; requires two Two Pairs where each Two Pair is a single suit, across two suits total
cryptid	poker_hand	The Entire Fucking Deck/The Entire Deck		5.253e29 Chips x 5.253e28 Mult; requires a hand containing every card of a standard 52-card deck
cryptid	stake	Pink Stake		Required score scales faster for each Ante
cryptid	stake	Brown Stake		All stickers are compatible with each other (e.g. Perishable and Eternal simultaneously)
cryptid	stake	Yellow Stake		Stickers can appear on all purchasable items
cryptid	stake	Jade Stake		1 in 20 cards are drawn face down
cryptid	stake	Cyan Stake		Uncommon and Rare Jokers are less likely to appear
cryptid	stake	Gray Stake		Rerolls increase in cost by $2 each
cryptid	stake	Crimson Stake		Vouchers restock on even Antes
