source	name	rarity	groups	mechanic	status
CARD_CATALOG	Colleano's Somersault	Uncommon	skill;Acrobat;movement;spotlight	Cue: swaps positions with the single card covering it.	
CARD_CATALOG	The Wing Walker	Uncommon	skill;Acrobat;movement;deck-manip	During the Next-phase drop, this card may transfer mid-air from its input column to an adjacent one, chosen on cue before Next.	
CARD_CATALOG	Hopak Burst	Uncommon	skill;Acrobat;Dancer;movement;formation	Cue, 1 charge per show: jumps this card's entire stack one row upward in its column, sliding everything beneath up.	
CARD_CATALOG	The Dzhigit's Pickup	Uncommon	skill;Acrobat;movement;deck-manip	During Next, once armed by cue, intercepts one falling card as it drops and redirects it to any column.	
CARD_CATALOG	Mallakhamb Pole	Uncommon	skill;Acrobat;formation;combo	While spotlit, every card in this card's column gains bonus points per row of column height when the column scores.	
CARD_CATALOG	The Stilt-Walker	Uncommon	skill;Acrobat;spotlight	This card is spotlit even when covered by one card.	
CARD_CATALOG	The Handicap	Uncommon	skill;Acrobat;gamble;protection	Cue at show start: lock this card's movement for the show (cannot be grabbed) in exchange for scoring double all show.	
CARD_CATALOG	Flagpole Sitter	Uncommon	skill;Acrobat;persistence;formation	Gains bonus points for each consecutive show it ends as the top card of the same column; any move resets the streak to zero.	
CARD_CATALOG	Human Cannonball	Rare	skill;Acrobat;movement	Cue: fire the bottom card of any column to the top of any other column.	
CARD_CATALOG	Blondin's Crossing	Rare	skill;Acrobat;movement;formation	Once per show: shift an entire row one column left or right, wrapping around the board edge.	
CARD_CATALOG	The High Dive	Rare	skill;Acrobat;movement;gamble	Cue: drop this card from the top of its column to the bottom, scoring bonus points per row fallen.	
CARD_CATALOG	The Clock Hang	Rare	skill;Acrobat;gamble;spotlight	May be placed half-off the board past the last column; while hanging it is double-spotlit (its skill fires twice), but any board-shift effect discards it.	
CARD_CATALOG	The Backward-Backward	Rare	skill;Acrobat;movement;combo	Cue: reverse the run direction of one column for the rest of the show, so descending counts as ascending and vice versa.	
CARD_CATALOG	The Contortionist	Rare	skill;Acrobat;formation;movement	May share one board slot with another card; both cards count in melds.	
CARD_CATALOG	The Traceur	Rare	skill;Acrobat;movement	This card moves only across the tops of columns, never entering stacks; cue to move any distance sideways along topmost slots.	
CARD_CATALOG	The Crowd Surf	Rare	skill;Acrobat;gamble;movement	Cue: pass this card across the tops of all columns to the far edge, scoring bonus points per column crossed; if any crossed column is empty, this card is discarded instead.	
CARD_CATALOG	The Pyramid	Rare	skill;Acrobat;Dancer;formation	Formation: when three adjacent columns hold stacks of exactly 3, 2, and 1 cards, the formation scores a bonus meld.	
CARD_CATALOG	The Triple	Epic	skill;Acrobat;combo;formation	If this card completes a run of exactly 3 cards fully assembled that turn, that run scores triple.	
CARD_CATALOG	The Courier	Epic	skill;Acrobat;formation;combo	While spotlit, this card counts as a member of both its own column's and the adjacent column's melds.	
CARD_CATALOG	Flash Mob	Epic	skill;Acrobat;movement;formation	Cue, once per show: deploy the entire Grand Entrance onto the board in one action, columns assigned left-to-right automatically.	
CARD_CATALOG	The Seven Pyramid	Legendary	skill;Acrobat;formation;persistence	Formation: a single stack of exactly 7 legally-run cards scores a large bonus; if the stack is broken by a hazard, rebuilding it once scores double.	
CARD_CATALOG	The Puszta Five	Legendary	skill;Acrobat;formation;combo	Cue, once per show: for one scoring pass this card counts as a member of every column's meld.	
CARD_CATALOG	Klyaksa	Common	skill;Animal Trainer;Clown;token	Comes with a free rank-1 token card that shuffles into the deck and follows this card's column when drawn.	
CARD_CATALOG	Flea Circus	Common	skill;Animal Trainer;combo	When scored, counts as five rank-1 cards for combo-counting purposes (not points).	
CARD_CATALOG	The Monkey	Uncommon	skill;Animal Trainer;charges;movement	Spawns a token that climbs its column one row per Next, freely cueing whatever card it sits on.	
CARD_CATALOG	Liberty Horses	Uncommon	skill;Animal Trainer;deck-manip;formation	On Next, all Animal-class cards in the Grand Entrance rearrange into ascending rank order before dropping.	
CARD_CATALOG	Hungry Hippo	Uncommon	skill;Animal Trainer;destruction;growth	Consumes cards dropped onto it, adding their rank to its own up to a cap of 13, and returns everything eaten at show end.	
CARD_CATALOG	The Learned Pig	Uncommon	skill;Animal Trainer;info	Once per turn: reveals the description/identity of any facedown, hidden, or unknown card.	
CARD_CATALOG	Clever Hans	Uncommon	skill;Animal Trainer;formation;secret	Counts as a copy of its highest adjacent neighbor's rank; if it has no neighbors, its rank is 1.	
CARD_CATALOG	The Gentled Beast	Uncommon	skill;Animal Trainer;growth;protection	Cards dropped on this card are not consumed but returned to the column below it; each one permanently adds +1 to this card's score bonus.	
CARD_CATALOG	The Lion Dance	Rare	skill;Animal Trainer;Dancer;destruction;secret	When destroyed, splits into two rank-half cards instead of dying; when placed onto a card, harvests bonus points from the card beneath it.	
CARD_CATALOG	Mabel's Tigers	Rare	skill;Animal Trainer;destruction;growth	Consumes prop (skill-less) cards dropped on it, gaining +1 rank per card eaten, with no cap, permanently.	
CARD_CATALOG	The Unicorn	Rare	skill;Animal Trainer;gamble;secret	Scores as Legendary (5x base) until any inspection effect examines it, after which it is revealed and scores half forever.	
CARD_CATALOG	The Lion's Bride	Rare	skill;Animal Trainer;gamble;formation	Scores bonus points each act it shares a column with a consuming Animal card without being eaten.	
CARD_CATALOG	The Ox	Rare	skill;Animal Trainer;destruction;persistence	When destroyed, grants bonus fame and revives into the deck next show.	
CARD_CATALOG	Jumbo	Epic	skill;Animal Trainer;formation;movement	Heavy: no cards may be placed on this card, but it can be placed on anything; scores bonus points per card beneath it when scored.	
CARD_CATALOG	Sin of Gluttony	Epic	skill;Animal Trainer;destruction;growth	Consumes cards from anywhere (board, Entrance, or decks, via cue), with no cap, permanently gaining rank.	
CARD_CATALOG	HONK	Common	skill;Clown;joke	Cue: makes a honk sound, with unlimited uses and no other effect.	
CARD_CATALOG	Slapstick	Common	skill;Clown;movement;combo	Cue: swap the ranks of this card and one adjacent card.	
CARD_CATALOG	The Kecak Chorus	Common	skill;Clown;combo;token	When any meld scores, gains bonus multiplier per rank-1 card currently on the board.	
CARD_CATALOG	Custard Pie	Uncommon	skill;Clown;combo;prop	Cue: target card's suit becomes Balls; if that completes a flush row, gain bonus multiplier immediately.	
CARD_CATALOG	Tappable Clown	Uncommon	skill;Clown;random;charges	3 charges per show: cue to deterministically re-roll the ranks of all adjacent cards.	
CARD_CATALOG	The Sunshine Clown	Uncommon	skill;Clown;status;protection	While spotlit, removes one debuff/status per turn from the cards directly below it; never applies debuffs itself.	
CARD_CATALOG	Mr. Punch	Uncommon	skill;Clown;destruction;combo	Each act, gains points for every adjacent card debuffed or destroyed.	
CARD_CATALOG	The Jongleur	Uncommon	skill;Clown;combo	Counts as every class for group effects, but all class bonuses apply at half value.	
CARD_CATALOG	The One-Man Band	Uncommon	skill;Clown;combo	Counts as three classes chosen at acquisition, each at one-third effect.	
CARD_CATALOG	The Comedic Drop	Uncommon	skill;Clown;discard;gamble	Cue: discard this card mid-show for a bonus larger than scoring it would have paid.	
CARD_CATALOG	Pierrot	Uncommon	skill;Clown;Dancer;gamble	Gains bonus multiplier on odd-numbered shows of the tour; has no effect otherwise.	
CARD_CATALOG	Pagliacci	Uncommon	skill;Clown;status;gamble	Gains bonus multiplier while this card carries any debuff or negative status.	
CARD_CATALOG	Fool's License	Rare	skill;Clown;rule;secret	While spotlit, choose one rule card in the rules deck whose effect is ignored.	
CARD_CATALOG	The Vidushaka	Rare	skill;Clown;economy;gamble	Once per tour: reduce the current show's goal (or Booking target) by 20%.	
CARD_CATALOG	Whiteface & Auguste	Rare	skill;Clown;random;combo	Cue the first card to issue an order (choose an adjacent card's cue); the second card executes it on a different valid target instead, at 150% effect.	
CARD_CATALOG	The Rodeo Clown	Rare	skill;Clown;protection	Once per turn, when a boss/town effect targets another of your cards, redirects the hit to itself.	
CARD_CATALOG	Grock's Instrument	Rare	skill;Clown;movement;gamble	Each act this card would score, it instead hops one column away and banks the points; when it has no legal hop left, it scores everything banked at once.	
CARD_CATALOG	Weary Willie	Rare	skill;Clown;growth;persistence	Gains +1 rank permanently every time one of your cards is destroyed or a show is failed.	
CARD_CATALOG	Clown Car	Epic	skill;Clown;deck-manip;combo	On Next, draws one extra card into this card's column, plus one more per Clown-class card scored last submit.	
CARD_CATALOG	The Living Statue	Common	skill;Dancer;persistence;formation	Gains bonus points at show end for every show it was never moved; any grab resets the bonus to zero.	
CARD_CATALOG	The Charivari	Uncommon	skill;Dancer;Clown;formation;combo	If 4 or more cards are placed into the board on the first turn of a show, gain bonus multiplier on the first act's payout.	
CARD_CATALOG	Presentation	Uncommon	skill;Dancer;combo;movement	While spotlit, each time a placed card's rank is higher than the last card placed, gain +1 combo for the act.	
CARD_CATALOG	Spiderweb	Uncommon	skill;Dancer;formation	When scored, gains +1 point per card diagonally adjacent to it.	
CARD_CATALOG	The Tango Pair	Uncommon	skill;Dancer;formation;movement	Pair: the two cards must always stay adjacent (the free one slides to rejoin on Next); each turn they alternate lead, and only the leader's skill fires, at +50%.	
CARD_CATALOG	Escaramuza	Uncommon	skill;Dancer;formation	When the board's column heights read the same left-to-right as right-to-left at scoring, gain bonus multiplier on the act.	
CARD_CATALOG	Twin Harmony	Uncommon	skill;Dancer;combo	Doubles any combo or multiplier effect on cards adjacent to it.	
CARD_CATALOG	The Odd Couple	Uncommon	skill;Dancer;formation;combo	The lowest- and highest-ranked cards in this card's row give each other bonus points when the row scores.	
CARD_CATALOG	The Paired Giants	Uncommon	skill;Dancer;formation	Pair: each gains bonus multiplier while both are anywhere on the board.	
CARD_CATALOG	Karagöz & Hacivat	Rare	skill;Dancer;formation;spotlight	Bound pair: each gains bonus multiplier while they are in opposite zones (one in the Entrance, one on the board).	
CARD_CATALOG	The Kickline	Rare	skill;Dancer;formation;combo	When all five columns' top cards share a suit at scoring, the row above them scores again.	
CARD_CATALOG	The Butoh Walker	Rare	skill;Dancer;movement;growth	Moves one slot automatically every other turn; every slot it leaves permanently grants bonus points to the next card scored there.	
CARD_CATALOG	The Dragon Meld	Rare	skill;Dancer;formation;movement	When a run of 4+ scores while this card is in it, that run can be relocated as a unit anywhere on the board once, next turn.	
CARD_CATALOG	The Fadista	Rare	skill;Dancer;destruction;persistence	Scores bonus points per card destroyed or lost this run.	
CARD_CATALOG	The Castell	Epic	skill;Dancer;Acrobat;formation;gamble	Formation: a stack of 6+ cards topped by the lowest-ranked card pays a large bonus at scoring; if the stack is broken by a hazard first, lose double the bonus instead.	
CARD_CATALOG	Straitjacket	Common	skill;Escape Artist;movement;gamble	Starts each show unable to be moved; frees itself and scores bonus points the first time its column scores.	
CARD_CATALOG	The Blockhead	Common	skill;Escape Artist;prop;protection	Absorbs one Knife prop per show, banking it as flat points instead of being hit.	
CARD_CATALOG	The Target Girl	Uncommon	skill;Escape Artist;prop;combo	In a Knife-prop row, converts every knife miss into points.	
