eid	origin	source	name	slot	rarity	groups	mechanic	status	also_seen_in	dupe_count
E0014	catalog	CARD_CATALOG	Brass Check		Common	stamp;economy;token;Producer	Whenever this card's effects trigger, mint a Gold token card onto the top of the draw deck.			0
E0015	catalog	CARD_CATALOG	Brass Ring		Rare	rule;combo;economy;movement	A token rotates one column per turn; if that column scores while the ring is on it, the meld pays double and a Ticket Stub is banked.			0
E0016	catalog	CARD_CATALOG	Brodie's Leap		Uncommon	skill;Escape Artist;gamble;economy;secret	Banks fame each show for a stunt that never happened; if ever exposed by an inspection effect, loses double everything banked.			0
E0017	catalog	CARD_CATALOG	Buried Alive		Rare	skill;Escape Artist;gamble;growth	Cue: remove a card from the game for 2 shows; it returns upgraded one rarity, with a seeded chance it does not return at all.			0
E0018	catalog	CARD_CATALOG	Canvas		Common	type;protection	The first debuff or status applied to this card each show is discarded.			0
E0019	catalog	CARD_CATALOG	Cascade Scorer		Common	rule;combo	On Submit, scores all rows of the board first, then all columns simultaneously per row band.			0
E0020	catalog	CARD_CATALOG	Cheat Day		Uncommon	skill;Concessions;growth;economy	If the show is won with cards still in the draw deck, every remaining card in the deck gains +1 rank permanently.			0
E0021	catalog	CARD_CATALOG	Chindon'ya		Uncommon	consumable;economy	Consumable: the next town's fame requirement drops 15%.		designdocs	1
E0022	catalog	CARD_CATALOG	Clever Hans		Uncommon	skill;Animal Trainer;formation;secret	Counts as a copy of its highest adjacent neighbor's rank; if it has no neighbors, its rank is 1.			0
E0023	catalog	CARD_CATALOG	Clown Car		Epic	skill;Clown;deck-manip;combo	On Next, draws one extra card into this card's column, plus one more per Clown-class card scored last submit.		designdocs	1
E0024	catalog	CARD_CATALOG	Colleano's Somersault		Uncommon	skill;Acrobat;movement;spotlight	Cue: swaps positions with the single card covering it.			0
E0025	catalog	CARD_CATALOG	Column Poker		Uncommon	skill;Special Effects;formation;combo	While spotlit, every full 5-card band of this card's column is evaluated as a poker hand at scoring.			0
E0026	catalog	CARD_CATALOG	Common		Common	skill;Producer;economy;meta	While in the deck, doubles the chance of Rare cards appearing in packs/shops.			0
E0027	catalog	CARD_CATALOG	Contract Ink		Uncommon	stamp;economy;persistence	Scores +X points per show it is played; if benched two shows in a row, it is removed from the deck.		designdocs	1
E0028	catalog	CARD_CATALOG	Custard Pie		Uncommon	skill;Clown;combo;prop	Cue: target card's suit becomes Balls; if that completes a flush row, gain bonus multiplier immediately.		designdocs	1
E0029	catalog	CARD_CATALOG	Dead Man's Hand		Legendary	rule;secret;gamble	Hidden rule: scoring two pair, Aces over Eights, in one row pays a jackpot and triggers a map event.			0
E0030	catalog	CARD_CATALOG	Dedi's Mercy		Rare	skill;Magician;protection;destruction	Once per show, when one of your cards is destroyed, restore it to the discard pile instead.			0
E0031	catalog	CARD_CATALOG	Deus ex Machina		Legendary	consumable;protection;meta	Consumable, once per run: when a show is lost, it is instead won at exactly the goal.			0
E0032	catalog	CARD_CATALOG	Diabolo		Uncommon	skill;Acrobat;movement;combo	Every Next, alternates between two adjacent columns, granting bonus points to the top card of the column it leaves.			0
E0033	catalog	CARD_CATALOG	Digital		Uncommon	type;protection	This card cannot be discarded from the board by any effect.			0
E0034	catalog	CARD_CATALOG	Double Trigger		Rare	stamp;combo	All of this card's effects trigger twice, once per scoring pass.			0
E0035	catalog	CARD_CATALOG	Drumroll		Common	skill;Special Effects;combo	The last meld scored each act gets bonus multiplier.			0
E0036	catalog	CARD_CATALOG	Duende		Legendary	skill;Special Effects;combo;secret	When an act scores 5 or more distinct combo classes and every meld that act raised the combo, this card triggers and triples the act's payout.			0
E0037	catalog	CARD_CATALOG	Earth		Uncommon	type;movement	Whenever its stack settles, this card sinks to the bottom of its stack, carrying its stamp with it.			0
E0038	catalog	CARD_CATALOG	Echoing Trigger		Uncommon	skill;meta-effect;combo	All triggers on the board repeat once, per card per scoring pass.		designdocs	1
E0039	catalog	CARD_CATALOG	Edith's Bayonet		Rare	skill;Escape Artist;destruction;growth	Cue: permanently destroy one Knives-suit card and add its rank to this card's own, forever.			0
E0040	catalog	CARD_CATALOG	Electric		Epic	suit;prop;formation;combo	When an Electric card scores, an arc prop hops card-to-card through orthogonally adjacent cards, adding points per link, until it reaches a gap.	Added		0
E0041	catalog	CARD_CATALOG	Epic		Epic	skill;Producer;economy;meta	While in the deck, doubles the chance of Legendary cards appearing in packs/shops.			0
E0042	catalog	CARD_CATALOG	Escaramuza		Uncommon	skill;Dancer;formation	When the board's column heights read the same left-to-right as right-to-left at scoring, gain bonus multiplier on the act.			0
E0043	catalog	CARD_CATALOG	Exchange Voucher		Uncommon	skill;Producer;movement;deck-manip	Usable from anywhere (including the deck): cue to swap this card's position with any card on screen.			0
E0044	catalog	CARD_CATALOG	Extra Point		Common	skill;meta-effect;combo	Gain extra flat points on score (currently +10).		designdocs	1
E0045	catalog	CARD_CATALOG	Eye of God		Legendary	skill;god-cycle;info;secret	Reveals all decks (including draw order), the hidden rules deck, and the true identity of every card, including Gaffs, Humbugs, and Riders.			0
E0046	catalog	CARD_CATALOG	Fairy Floss		Common	skill;Concessions;status;formation	When scored, gives +1 rank to all adjacent cards for the rest of the show.			0
E0047	catalog	CARD_CATALOG	Final Act		Rare	type;deck-manip;combo	After every shuffle, this card sinks below all non-Heavy cards and only enters play after the rest of the deck is drawn; it scores a bonus multiplier as the closer.			0
E0048	catalog	CARD_CATALOG	Firetown's Snub		Uncommon	hazard;prop;status	Town hazard: Flames-suit effects score nothing here, and Burning statuses do not multiply.			0
E0049	catalog	CARD_CATALOG	Fireworks		Epic	suit;prop;Special Effects;economy	When a Fireworks card scores, its rocket prop rises up the column and banks the column score directly.	Added		0
E0050	catalog	CARD_CATALOG	First Act		Uncommon	type;deck-manip	After every shuffle, this card moves to the top of the deck and enters play alone before any other card that Next.			0
E0051	catalog	CARD_CATALOG	First of May		Uncommon	skill;Producer;growth;event-granted	A random Common card that permanently upgrades to its Rare version after scoring 10 times across the run.			0
E0052	catalog	CARD_CATALOG	Flagpole Sitter		Uncommon	skill;Acrobat;persistence;formation	Gains bonus points for each consecutive show it ends as the top card of the same column; any move resets the streak to zero.			0
E0053	catalog	CARD_CATALOG	Flames		Common	suit;prop;status;combo	Fire props arc down the column applying Burning; a Burning card's suit effect fires with multiplied prop count, and fire cascades can chain within the same act.	Added		0
E0054	catalog	CARD_CATALOG	Flash		Uncommon	type;combo;gamble	The first time this card would score each show it scores triple; every later score that show is zero.			0
E0055	catalog	CARD_CATALOG	Flash Mob		Epic	skill;Acrobat;movement;formation	Cue, once per show: deploy the entire Grand Entrance onto the board in one action, columns assigned left-to-right automatically.			0
E0056	catalog	CARD_CATALOG	Flea Circus		Common	skill;Animal Trainer;combo	When scored, counts as five rank-1 cards for combo-counting purposes (not points).			0
E0057	catalog	CARD_CATALOG	Fool's License		Rare	skill;Clown;rule;secret	While spotlit, choose one rule card in the rules deck whose effect is ignored.			0
E0058	catalog	CARD_CATALOG	Foot of God		Legendary	skill;god-cycle;movement	Cue: this card switches locations with any card on screen (board, Entrance, or decks).			0
E0059	catalog	CARD_CATALOG	Frankenstein		Rare	skill;Magician;formation;persistence	On submit, merges with the cards directly above and below it into one 3-card stack of summed rank that stays in the zone after scoring.		designdocs	1
E0060	catalog	CARD_CATALOG	Free Undo		Common	rule;meta	Grants one free undo per turn that does not carry over.			0
E0061	catalog	CARD_CATALOG	Genie's Wish		Rare	consumable;deck-manip;collection	Consumable: choose any card in your deck and create a full copy of it in the Entrance for this show, which becomes permanent in the deck afterward.			0
E0062	catalog	CARD_CATALOG	Ghost Light		Uncommon	stamp;spotlight	This card does not block the Spotlight of cards beneath it; they stay active as if uncovered.		designdocs	2
E0063	catalog	CARD_CATALOG	Glass		Uncommon	type;destruction;gamble	Scores double points, and is destroyed permanently after its third score.			0
E0064	catalog	CARD_CATALOG	Global		Rare	stamp;spotlight;deck-manip	This card's modifiers are active from anywhere: board, Entrance, draw deck, or discard.			0
E0065	catalog	CARD_CATALOG	Gold		Rare	suit;economy;token;Producer	Gold-suit cards count as currency at full trade value in shops; when a Gold card scores, it mints a Heavy Gold token card to the deck bottom.	Modified (type instead of suit, effect is that it increases its own cost, is heavy) (gold gen should be its own talent)		0
E0066	catalog	CARD_CATALOG	Gold Card		Common	skill;Producer;economy;token	Money token: full trade value at shops, always sinks to the deck bottom (Heavy), and scores 0 in melds.			0
E0067	catalog	CARD_CATALOG	Golden Buzzer		Legendary	consumable;protection;meta	Consumable, once per run: skips one town's requirement entirely for an instant win with full rewards.			0
E0068	catalog	CARD_CATALOG	Grand Spec		Epic	skill;Special Effects;formation;combo	If all columns scored a meld this act, doubles the act's combo multiplier.			0
E0069	catalog	CARD_CATALOG	Grand Vanish		Epic	skill;Magician;protection;formation	Cue, once per show: hide an entire column so it cannot be seen, targeted, scored, or touched for one turn; it then returns with bonus points on every card.			0
E0070	catalog	CARD_CATALOG	Greasepaint		Uncommon	stamp;Clown	This card counts as a Clown-class card in addition to its own class.		designdocs	1
E0071	catalog	CARD_CATALOG	Grock's Instrument		Rare	skill;Clown;movement;gamble	Each act this card would score, it instead hops one column away and banks the points; when it has no legal hop left, it scores everything banked at once.			0
E0072	catalog	CARD_CATALOG	Half-Step		Uncommon	pip;movement;freakshow	This card has rank N and a half, letting it stack legally between rank N and N+1 in runs, but it never participates in poker melds.	Added (makes more sense as hat)		0
E0073	catalog	CARD_CATALOG	Hall of Mirrors		Epic	hazard;secret;formation	Boss: duplicates the board's reflection with fake copies of your cards interleaved into rows; they score 0.			0
E0074	catalog	CARD_CATALOG	Hanafuda Reskin		Rare	skill;Costume Designer;secret;protection	When a town outlaws a suit, all your cards of that suit count as the suit of the adjacent card for that show.			0
E0075	catalog	CARD_CATALOG	Hand of God		Legendary	skill;god-cycle;movement;deck-manip	Cue: move any card to any board location ignoring legality, or reorder the cards inside any deck.		designdocs	1
E0076	catalog	CARD_CATALOG	Harlequin		Rare	pip;prop;combo	This card counts as both of its printed suits for every comparison, meld, and suit effect, firing both suits' props.	vetoed (2 suit suit is boring)		0
E0077	catalog	CARD_CATALOG	Heavy		Common	type;deck-manip	After any shuffle or return to deck, this card sinks to the deck bottom.			0
E0078	catalog	CARD_CATALOG	Helium		Common	type;deck-manip	After any shuffle or return to deck, this card rises to the top and is always the first card drawn on Next.			0
E0079	catalog	CARD_CATALOG	Hey Rube!		Rare	hazard;status;formation	Boss: each submit, every card in the rightmost column gets Exhausted unless an Escape Artist-class card stands in that column.			0
E0080	catalog	CARD_CATALOG	Hikinuki		Uncommon	skill;Costume Designer;collection;combo	On scoring, swaps this card's stamp with any stamp held in reserve.			0
E0081	catalog	CARD_CATALOG	HONK		Common	skill;Clown;joke	Cue: makes a honk sound, with unlimited uses and no other effect.			0
E0082	catalog	CARD_CATALOG	Hoops		Common	suit;prop;combo	When a Hoops card scores, hoop props sweep the scored row and re-score every skill card they pass through; talented spawners suppress their own suit effect.	Added		0
E0083	catalog	CARD_CATALOG	Hooptown's Snub		Uncommon	hazard;prop	Town hazard: Hoops-suit effects score nothing here.			0
E0084	catalog	CARD_CATALOG	Hopak Burst		Uncommon	skill;Acrobat;Dancer;movement;formation	Cue, 1 charge per show: jumps this card's entire stack one row upward in its column, sliding everything beneath up.			0
E0085	catalog	CARD_CATALOG	Human Cannonball		Rare	skill;Acrobat;movement	Cue: fire the bottom card of any column to the top of any other column.		designdocs	1
E0086	catalog	CARD_CATALOG	Humbug		Rare	skill;Producer;secret;gamble	While covered, counts as a copy of the most valuable card in its row; when uncovered, is revealed as junk (rank 2, base score only).		designdocs	1
E0087	catalog	CARD_CATALOG	Hungry Hippo		Uncommon	skill;Animal Trainer;destruction;growth	Consumes cards dropped onto it, adding their rank to its own up to a cap of 13, and returns everything eaten at show end.		designdocs	1
E0088	catalog	CARD_CATALOG	Hype Poster		Uncommon	consumable;gamble;economy	Consumable: doubles the next show's fame requirement, in exchange for its rewards (pack quality, rarity odds) scaling up two tiers.			0
E0089	catalog	CARD_CATALOG	Input Column		Common	rule;movement	One per column: on Next, drops its upper-zone stack into the paired board column, then draws a card from the deck to refill.			0
E0090	catalog	CARD_CATALOG	Iron Body		Uncommon	stamp;protection	Immune to the first destruction or debuff that targets this card each show.		designdocs	1
E0091	catalog	CARD_CATALOG	Joey Grimaldi		Epic	leader;Clown;movement;combo	Leader: once per turn, freely swaps the ranks of any two adjacent cards without spending a cue.			0
E0092	catalog	CARD_CATALOG	John Robinson		Uncommon	hazard;economy	Elite hazard: the show is shortened to 2 submits instead of 3, with the goal unchanged.			0
E0093	catalog	CARD_CATALOG	Juggletown's Snub		Uncommon	hazard;prop;status	Town hazard: Balls-suit effects score nothing here, though Juggling statuses still apply.			0
E0094	catalog	CARD_CATALOG	Jumbo		Epic	skill;Animal Trainer;formation;movement	Heavy: no cards may be placed on this card, but it can be placed on anything; scores bonus points per card beneath it when scored.		designdocs	1
E0095	catalog	CARD_CATALOG	Karagöz & Hacivat		Rare	skill;Dancer;formation;spotlight	Bound pair: each gains bonus multiplier while they are in opposite zones (one in the Entrance, one on the board).			0
E0096	catalog	CARD_CATALOG	Kayfabe		Epic	rule;secret;gamble	While in play, all Gaff/Humbug/fake cards count as real and score as what they pretend to be; removing this card reverts that.			0
E0097	catalog	CARD_CATALOG	Klyaksa		Common	skill;Animal Trainer;Clown;token	Comes with a free rank-1 token card that shuffles into the deck and follows this card's column when drawn.			0
E0098	catalog	CARD_CATALOG	Knifetown's Snub		Uncommon	hazard;prop	Town hazard: Knives-suit effects score nothing here.			0
E0099	catalog	CARD_CATALOG	Knives		Common	suit;prop;economy	Knife props launch from the opposite row edge and score plain non-skill prop cards they pass; the spawner also scores itself.	Added	braindump	1
E0100	catalog	CARD_CATALOG	Kuroko		Rare	stamp;spotlight;protection	This card does not block Spotlight beneath it and cannot be targeted by boss or town effects.			0
E0101	catalog	CARD_CATALOG	Label		Uncommon	rule;info;secret	While this rule card is in the (normally hidden) rules deck, its effect text is announced on the board.			0
E0102	catalog	CARD_CATALOG	Liberty Horses		Uncommon	skill;Animal Trainer;deck-manip;formation	On Next, all Animal-class cards in the Grand Entrance rearrange into ascending rank order before dropping.			0
E0103	catalog	CARD_CATALOG	Lithograph		Rare	type;spotlight	While this card sits in the Grand Entrance its skill is active globally; on the board it has no effect.			0
E0104	catalog	CARD_CATALOG	Lloyd's Policy		Rare	stamp;protection;economy	The first time this card would be destroyed or debuffed, prevent it and mint 2 Gold tokens instead.		designdocs	1
E0105	catalog	CARD_CATALOG	Lot Lice		Common	hazard;economy	Town hazard: the first submit each show scores 0 fame.		designdocs	1
E0106	catalog	CARD_CATALOG	Lucky Streak		Uncommon	skill;Fortune Teller;meta;random	Grants +1 reroll per shop visit; after it activates, repeated actions for the rest of the show never repeat identical results.			0
E0107	catalog	CARD_CATALOG	Mabel's Tigers		Rare	skill;Animal Trainer;destruction;growth	Consumes prop (skill-less) cards dropped on it, gaining +1 rank per card eaten, with no cap, permanently.			0
E0108	catalog	CARD_CATALOG	Madame Zora's Eye		Rare	skill;Fortune Teller;info	The next card to be drawn is always visible above the deck slot while this card is anywhere in play.		designdocs	1
E0109	catalog	CARD_CATALOG	Mallakhamb Pole		Uncommon	skill;Acrobat;formation;combo	While spotlit, every card in this card's column gains bonus points per row of column height when the column scores.			0
E0110	catalog	CARD_CATALOG	Marked		Common	stamp;info;deck-manip	Always shows this card's position in the draw deck.			0
E0111	catalog	CARD_CATALOG	Marotte		Uncommon	stamp;destruction;protection	When this card is destroyed, a rank-1 copy of it (same skill, no stamp) survives in its place.			0
E0112	catalog	CARD_CATALOG	Maximum Effort		Uncommon	stamp;gamble;persistence	Doubles this card's points on score; afterward it is Exhausted (scores nothing) until a show passes in which it was never played.			0
E0113	catalog	CARD_CATALOG	Meal Call		Uncommon	skill;Concessions;status;protection	Cue, once per show: every card on the board removes one debuff or status.			0
E0114	catalog	CARD_CATALOG	Metamorphosis		Rare	skill;Magician;deck-manip;gamble	Cue: swap this card with any card in the draw deck (seen or unseen), taking its board position.		designdocs	1
E0115	catalog	CARD_CATALOG	Milk Can		Uncommon	skill;Escape Artist;protection;deck-manip	Cue: place one board card inside the can, safe and out of play; cue again on a later turn to retrieve it to the Entrance.			0
E0116	catalog	CARD_CATALOG	Misdirection		Uncommon	skill;Magician;spotlight	While spotlit, the topmost covered card in each adjacent column is also treated as spotlit.		designdocs	1
E0117	catalog	CARD_CATALOG	Mr. Punch		Uncommon	skill;Clown;destruction;combo	Each act, gains points for every adjacent card debuffed or destroyed.			0
E0118	catalog	CARD_CATALOG	Mud Show		Common	hazard;movement;economy	Town hazard: every stack pickup this show costs 1 discard from the deck top.			0
E0119	catalog	CARD_CATALOG	Mystery Box		Common	skill;Magician;random	On game start, this card becomes a random skill for the rest of the run, deterministic per seed.			0
E0120	catalog	CARD_CATALOG	Null		Uncommon	type;hazard;freakshow	Junk material inserted by hazards: occupies a slot, scores nothing, and melds nothing.			0
E0121	catalog	CARD_CATALOG	OG Grabber		Common	rule;movement	Default grab legality: a stack may be picked up if it is an ascending or descending run with no two same-suit cards adjacent.			0
E0122	catalog	CARD_CATALOG	OG Placer		Common	rule;movement	Default placement legality: a stack may be placed where the join continues a legal run without same-suit contact.			0
E0123	catalog	CARD_CATALOG	Outlawed		Rare	type;gamble;economy	In pious/lawful towns this card cannot score at all; everywhere else it scores double.			0
E0124	catalog	CARD_CATALOG	Pagliacci		Uncommon	skill;Clown;status;gamble	Gains bonus multiplier while this card carries any debuff or negative status.			0
E0125	catalog	CARD_CATALOG	Pandora's Box		Uncommon	skill;Magician;random	On game start becomes a random skill; on game end resets back to this skill.		braindump;designdocs	2
E0126	catalog	CARD_CATALOG	Paper		Common	type	Default material with no modifier behavior.	Added		0
E0127	catalog	CARD_CATALOG	Paper the House		Rare	consumable;protection;economy	Consumable: auto-passes one town's fame check, but grants zero fame and zero rewards from it.		designdocs	1
E0128	catalog	CARD_CATALOG	Peanut Pitch		Common	skill;Concessions;charges	Cue, 3 charges per show: gives bonus points to any one card on the board.			0
E0129	catalog	CARD_CATALOG	Pepper's Ghost		Rare	skill;Magician;formation;combo	While spotlit, an intangible duplicate of this card appears in the opposite zone; it scores in melds but cannot be touched, moved, or targeted.			0
E0130	catalog	CARD_CATALOG	Performance Rings		Rare	rule;formation;combo	Rows 1-5 pay 1x, rows 6-10 pay 2x, rows 11-15 pay 3x, and so on by board depth.			0
E0131	catalog	CARD_CATALOG	Pierrot		Uncommon	skill;Clown;Dancer;gamble	Gains bonus multiplier on odd-numbered shows of the tour; has no effect otherwise.			0
E0132	catalog	CARD_CATALOG	Pink Lemonade		Common	skill;Concessions;combo	When a Flames card and a Concessions card score in the same row, gain bonus points and draw 1 card.		designdocs	1
E0133	catalog	CARD_CATALOG	Poker Crown		Uncommon	skill;Special Effects;formation;combo	When scored, this card and the 4 cards directly above it in its column are also evaluated as a poker hand, once.			0
E0134	catalog	CARD_CATALOG	Poker Evaluator		Common	rule;combo	Evaluates each scored line for its best poker hand; only the best poker hand per line pays.			0
E0135	catalog	CARD_CATALOG	Popcorn Cascade		Uncommon	skill;Concessions;deck-manip;combo	Whenever a column of 4 or more cards scores, draw 1 card.			0
E0136	catalog	CARD_CATALOG	Presentation		Uncommon	skill;Dancer;combo;movement	While spotlit, each time a placed card's rank is higher than the last card placed, gain +1 combo for the act.			0
E0137	catalog	CARD_CATALOG	Press Bribery		Epic	skill;Producer;protection;gamble;meta	Once: on failing a city, keep touring as if it were won; if still unspent by the final city, converts to an automatic win there.			0
E0138	catalog	CARD_CATALOG	Psycho		Rare	skill;Magician;deck-manip;movement	Every Next, automatically plays the top card of the draw deck into this card's column.			0
E0139	catalog	CARD_CATALOG	Railroad Jump		Rare	hazard;destruction;meta	Map-edge hazard: traveling this route costs one card, permanently removed from the deck.			0
E0140	catalog	CARD_CATALOG	Rare		Rare	skill;Producer;economy;meta	While in the deck, doubles the chance of Epic cards appearing in packs/shops.			0
E0141	catalog	CARD_CATALOG	Revealing		Uncommon	stamp;spotlight	This card's modifiers stay active while covered.			0
E0142	catalog	CARD_CATALOG	Ring Column		Common	rule;formation	One per column: adds one board (lower zone) column at game creation; its rank equals which column it is.			0
E0143	catalog	CARD_CATALOG	Ringmaster's Grip		Rare	stamp;movement	This card and the stack it heads can always be picked up, regardless of stack legality.		designdocs	1
E0144	catalog	CARD_CATALOG	Roman Numerals		Common	pip;cosmetic	This card's rank displays as Roman numerals; melds, stacking and comparisons are unaffected.	Added		0
E0145	catalog	CARD_CATALOG	Rosin		Uncommon	type;movement;formation	Cards placed onto this card cannot be picked up again, but score +1 bonus per ring deeper than they stand.			0
E0146	catalog	CARD_CATALOG	Sawdust		Common	type;discard;Concessions	When this card is discarded from the board, its slot keeps a marker that gives the next card placed there bonus points on its first score.			0
E0147	catalog	CARD_CATALOG	Sawing in Half		Uncommon	skill;Magician;deck-manip;movement	Cue: split a target card into two same-suit cards of half rank (one rounded up, one down); this card exhausts for the show.		designdocs	1
E0148	catalog	CARD_CATALOG	Searing Knife		Rare	skill;Escape Artist;gamble;formation;hazard	When scored, its column pays 3x this act but is locked (no placement or grabs) for the next 2 turns.			0
E0149	catalog	CARD_CATALOG	Second Act		Uncommon	type;deck-manip	After every shuffle, this card is placed exactly at the deck's midpoint and enters play alone.			0
E0150	catalog	CARD_CATALOG	Self-Granted Title		Rare	stamp;economy;info	This card counts as one rarity higher for all effects and bonuses, but not for pack or shop pool rolls.			0
E0151	catalog	CARD_CATALOG	Sin of Gluttony		Epic	skill;Animal Trainer;destruction;growth	Consumes cards from anywhere (board, Entrance, or decks, via cue), with no cap, permanently gaining rank.			0
E0152	catalog	CARD_CATALOG	Slapstick		Common	skill;Clown;movement;combo	Cue: swap the ranks of this card and one adjacent card.		designdocs	1
E0153	catalog	CARD_CATALOG	Sliced Bread		Uncommon	skill;Special Effects;formation;combo	On submission, if a same-suit card sits lower in this card's stack, gain a point per card between them.		designdocs	1
E0154	catalog	CARD_CATALOG	Snake Oil		Common	consumable;gamble;status	Consumable: gives +3 rank to one card this show, with a seeded 1-in-4 chance of doing nothing.			0
E0155	catalog	CARD_CATALOG	Soundcheck		Uncommon	rule;movement;meta	At show start, grants one free move (grab and place one stack) before the first Next, without spending an act.			0
E0156	catalog	CARD_CATALOG	Spangle		Common	stamp;combo	The first time this card is part of any scored meld each act, it adds +1 to the act's combo.			0
E0157	catalog	CARD_CATALOG	Spiderweb		Uncommon	skill;Dancer;formation	When scored, gains +1 point per card diagonally adjacent to it.			0
E0158	catalog	CARD_CATALOG	Spirit Photo		Uncommon	consumable;gamble;token	Consumable: creates an intangible ghost copy of an owned card that plays for one show at half score, then disappears.			0
E0159	catalog	CARD_CATALOG	Stone		Uncommon	type;movement;protection	Once placed on the board this card cannot be grabbed again, and it scores a bonus for remaining unmoved.			0
E0160	catalog	CARD_CATALOG	Straitjacket		Common	skill;Escape Artist;movement;gamble	Starts each show unable to be moved; frees itself and scores bonus points the first time its column scores.		designdocs	1
E0161	catalog	CARD_CATALOG	Sword Swallower		Epic	rule;secret;formation	Hidden rule: a column that is one perfect descending run from top to floor pays a large bonus and mints a Knife-suit card.			0
E0162	catalog	CARD_CATALOG	Symmetrical Show		Rare	rule;combo;formation	Poker hands are also evaluated on columns in addition to rows.			0
E0163	catalog	CARD_CATALOG	Tappable Clown		Uncommon	skill;Clown;random;charges	3 charges per show: cue to deterministically re-roll the ranks of all adjacent cards.			0
E0164	catalog	CARD_CATALOG	Temperance Town		Uncommon	hazard;economy	Town hazard: Concessions-class cards are disabled and shop prices are doubled.		designdocs	1
E0165	catalog	CARD_CATALOG	The Accountant		Rare	skill;meta-effect;combo;economy	At payout, before row x column multiplication, shift up to 20% of the larger axis total onto the smaller, costing 2 combo to invoke.			0
E0166	catalog	CARD_CATALOG	The Acrobat		Uncommon	skill;Acrobat;movement	This card can be grabbed even while covered; the cards above cascade down one slot.			0
E0167	catalog	CARD_CATALOG	The Advance Campaign		Rare	skill;Producer;economy;gamble	Cue before a show: spend N Gold tokens to multiply that show's fame payout by 1 + N/10.		designdocs	1
E0168	catalog	CARD_CATALOG	The Advance Man		Uncommon	consumable;info;meta	Consumable: reveals all fog-of-war nodes within 2 edges of the player's position, including contents.			0
E0169	catalog	CARD_CATALOG	The Aerialist		Legendary	leader;combo;gamble	Leader: re-scores the topmost meld once per submit, but is destroyed permanently if her column ever fails to score.		designdocs	1
E0170	catalog	CARD_CATALOG	The Alchemist		Uncommon	skill;meta-effect;status	Cue: transmute all statuses of one class on a target card into another class, count preserved.			0
E0171	catalog	CARD_CATALOG	The Ambitious Card		Rare	skill;Magician;deck-manip	This card always rises to the top of the draw deck after any shuffle or discard, and scores bonus points if drawn the same show it was discarded.			0
E0172	catalog	CARD_CATALOG	The Amendment		Rare	skill;meta-effect;rule;collection	Attach any owned stamp to a rule card in the rules deck.			0
E0173	catalog	CARD_CATALOG	The Anarchist		Epic	hazard;rule;secret	Boss: each submit, disables one of your beneficial rule cards for the rest of the show, in an order it chooses.			0
E0174	catalog	CARD_CATALOG	The Apprentice		Rare	skill;meta-effect;growth;collection	Blank skill; each show it permanently learns the first effect it observes firing, up to three learned effects.			0
E0175	catalog	CARD_CATALOG	The Avatar		Rare	stamp;info;secret	This card copies another deck card's name, class, and identity for all checks until it has scored 3 times, at which point it is unmasked.			0
E0176	catalog	CARD_CATALOG	The Backward-Backward		Rare	skill;Acrobat;movement;combo	Cue: reverse the run direction of one column for the rest of the show, so descending counts as ascending and vice versa.			0
E0177	catalog	CARD_CATALOG	The Balance		Legendary	hazard;formation;combo;secret	Final-tier boss: cannot be beaten by score; win by ending the show with row total and column total within 10% of each other.			0
