Q0001	E1152
Q0155	G0002
Q0156	G0367
Q0157	G0368
Q0158	E0304
Q0159	G0366
Q0160	G0005
Q0161	G0251
Q0162	G0004
Q0163	G0006
Q0164	E0515
Q0165	E1208
Q0166	E1245
Q0167	E0146
Q0168	E1466
Q0169	E0186
Q0170	G0227
Q0171	G0195
Q0172	E1473
Q0173	E0655
Q0174	E1323
Q0175	E0120
Q0176	E1449
Q0177	E0659
Q0178	E1344
Q0179	E0765
Q0180	G0243
Q0181	G0142
Q0182	G0203
Q0183	E1177
Q0184	E1415
Q0185	G0370
Q0186	G0369
Q0187	G0008
Q0188	G0007
Q0189	G0009
Q0190	G0468
Q0191	E1357
Q0192	G0372
Q0193	G0371
Q0194	E1476
Q0195	E0046
Q0196	E0116
Q0197	E0117
Q0198	E1336
Q0199	E0716
Q0200	E0157
Q0201	G0242
Q0202	E0210
Q0203	E0962
Q0204	G0190
Q0205	G0179
Q0206	G0188
Q0207	G0196
Q0208	E0894
Q0209	G0469
Q0210	E1885
Q0211	E0698
Q0212	E0142
Q0213	E0153
Q0214	E0042
Q0215	G0218
Q0216	E1460
Q0217	G0197
Q0218	E2044
Q0219	E0922
Q0220	E0268
Q0221	E0305
Q0222	E2050
Q0223	G0076
Q0224	G0075
Q0225	G0074
Q0226	G0077
Q0227	G0079
Q0228	G0080
Q0229	G0081
Q0230	G0078
Q0231	G0186
Q0232	E1084
Q0233	E1095
Q0234	E1136
Q0235	E1189
Q0236	G0172
Q0237	E0094
Q0238	E1289
Q0239	E0122
Q0240	E0145
Q0241	E0899
Q0242	E0941
Q0243	G0223
Q0244	E0121
Q0245	E0143
Q0246	E0166
Q0247	G0164
Q0248	E1145
Q0249	E0443
Q0250	E0109
Q0251	E0133
Q0252	E0814
Q0253	G0149
Q0254	G0012
Q0255	G0010
Q0256	G0011
Q0257	G0139
Q0258	E0002
Q0259	G0263
Q0260	E0037
Q0261	E1258
Q0262	G0226
Q0263	E0335
Q0264	E1481
Q0265	E1194
Q0266	E0062
Q0267	E0100
Q0268	E1252
Q0269	E0064
Q0270	E0591
Q0271	E0086
Q0272	E0103
Q0273	E0141
Q0274	G0157
Q0275	E0302
Q0276	E0983
Q0277	G0247
Q0278	E0329
Q0279	E0333
Q0280	E1146
Q0281	G0340
Q0282	E0039
Q0283	E0571
Q0284	E0087
Q0285	E0107
Q0286	E0151
Q0287	E1353
Q0288	E1446
Q0289	E0216
Q0290	E1723
Q0291	E0470
Q0292	E0059
Q0293	G0470
Q0294	G0248
Q0295	E0194
Q0296	E0204
Q0297	E0886
Q0298	E0250
Q0299	E0323
Q0300	E0989
Q0301	G0014
Q0302	G0015
Q0303	G0147
Q0304	G0013
Q0305	E0084
Q0306	E1390
Q0307	E1434
Q0308	E0212
Q0309	E0274
Q0310	G0150
Q0311	G0145
Q0312	E0346
Q0313	E0366
Q0314	E0371
Q0315	E0439
Q0316	E0024
Q0317	E0058
Q0318	E0075
Q0319	E0085
Q0320	E1287
Q0321	G0151
Q0322	G0144
Q0323	E0220
Q0324	E0011
Q0325	E1200
Q0326	E1374
Q0327	E0252
Q0328	E1027
Q0329	E1482
Q0330	E1499
Q0331	G0221
Q0332	E0255
Q0333	G0249
Q0334	E0372
Q0335	E0015
Q0336	E1151
Q0337	E1806
Q0338	E0032
Q0339	E0180
Q0340	E0269
Q0341	E0272
Q0342	G0155
Q0343	E0300
Q0344	E0961
Q0345	E0319
Q0346	E0306
Q0347	E1142
Q0348	G0373
Q0349	G0375
Q0350	G0374
Q0351	E0442
Q0352	E1988
Q0353	E0159
Q0354	E0160
Q0355	E2041
Q0356	E0251
Q0357	E0275
Q0358	E1120
Q0359	E1160
Q0360	E1178
Q0361	E0630
Q0362	E1341
Q0363	E0862
Q0364	G0237
Q0365	E0263
Q0366	G0138
Q0367	G0376
Q0368	G0377
Q0369	E0224
Q0370	E1187
Q0371	E1458
Q0372	G0378
Q0373	G0379
Q0374	E0013
Q0375	E0047
Q0376	E0050
Q0377	E0077
Q0378	E0078
Q0379	E0149
Q0380	E0171
Q0381	E0841
Q0382	E0357
Q0383	E0114
Q0384	G0272
Q0385	E0193
Q0386	G0271
Q0387	E0108
Q0388	G0274
Q0389	E0307
Q0390	G0273
Q0391	E0207
Q0392	G0275
Q0393	G0276
Q0394	E0341
Q0395	E0012
Q0396	E1836
Q0397	E0055
Q0398	E0102
Q0399	E0135
Q0400	E0246
Q0401	G0206
Q0402	E1707
Q0403	E1001
Q0404	E0023
Q0405	G0381
Q0406	G0382
Q0407	G0380
Q0408	E1193
Q0409	E0225
Q0410	G0384
Q0411	G0383
Q0412	G0178
Q0413	E0106
Q0414	G0229
Q0415	G0217
Q0416	E1182
Q0417	E0138
Q0418	E0749
Q0419	G0471
Q0420	E0200
Q0421	G0279
Q0422	G0280
Q0423	E0230
Q0424	E1518
Q0425	G0386
Q0426	G0385
Q0427	G0387
Q0428	G0082
Q0429	G0085
Q0430	G0083
Q0431	G0084
Q0432	E1539
Q0433	E0073
Q0434	E1361
Q0435	E1375
Q0436	G0140
Q0437	E1305
Q0438	E0158
Q0439	E0249
Q0440	G0290
Q0441	E1790
Q0442	E1557
Q0443	E0061
Q0444	E1603
Q0445	E0129
Q0446	E1640
Q0447	E2032
Q0448	E0175
Q0449	E0208
Q0450	E0260
Q0451	G0216
Q0452	E0364
Q0453	E1745
Q0454	E0115
Q0455	E1327
Q0456	E1989
Q0457	E0793
Q0458	E0833
Q0459	E0270
Q0460	E0310
Q0461	E0345
Q0462	E1748
Q0463	E0010
Q0464	E1772
Q0465	E1808
Q0466	E0028
Q0467	E1882
Q0468	E0080
Q0469	E1623
Q0470	E1351
Q0471	E1403
Q0472	E0152
Q0473	E0091
Q0474	E1448
Q0475	E0244
Q0476	E0332
Q0477	E0355
Q0478	E0483
Q0479	E1846
Q0480	E0119
Q0481	E0370
Q0482	E1990
Q0483	E0163
Q0484	G0318
Q0485	G0328
Q0486	E0358
Q0487	G0169
Q0488	E2075
Q0489	E1980
Q0490	E0147
Q0491	G0170
Q0492	E1467
Q0493	E0276
Q0494	E0017
Q0495	E0718
Q0496	E0735
Q0497	E2005
Q0498	G0346
Q0499	E0374
Q0500	E1830
Q0501	E1204
Q0502	E0311
Q0503	G0184
Q0504	E1018
Q0505	G0270
Q0506	E0030
Q0507	E0111
Q0508	E1940
Q0509	E0819
Q0510	G0137
Q0511	E0908
Q0512	E0949
Q0513	E0296
Q0514	E0014
Q0515	E1782
Q0516	E0449
Q0517	E0505
Q0518	E0066
Q0519	E0097
Q0520	E1994
Q0521	E0187
Q0522	E0190
Q0523	E0202
Q0524	G0136
Q0525	E0362
Q0526	E0001
Q0527	E0174
Q0528	E0223
Q0529	E0914
Q0530	E1005
Q0531	E0368
Q0532	E0424
Q0533	E1787
Q0534	E1559
Q0535	E0786
Q0536	E0213
Q0537	E0289
Q0538	G0287
Q0539	E1781
Q0540	E1248
Q0541	E1866
Q0542	E0367
Q0543	E0173
Q0544	E0189
Q0545	E0281
Q0546	E0299
Q0547	G0146
Q0548	E1867
Q0549	E0184
Q0550	E0218
Q0551	E0314
Q0552	E1011
Q0553	E0005
Q0554	E0468
Q0555	G0264
Q0556	E0627
Q0557	E0191
Q0558	E0201
Q0559	E0219
Q0560	G0265
Q0561	E0036
Q0562	G0347
Q0563	E0211
Q0564	G0348
Q0565	E1506
Q0566	E0019
Q0567	G0219
Q0568	G0262
Q0569	E0214
Q0570	G0189
Q0571	G0210
Q0572	E0365
Q0573	E0057
Q0574	E0172
Q0575	E0209
Q0576	E0259
Q0577	E0279
Q0578	E0331
Q0579	G0087
Q0580	G0313
Q0581	G0086
Q0582	G0314
Q0583	G0089
Q0584	G0088
Q0585	E0671
Q0586	E0128
Q0587	G0175
Q0588	G0472
Q0589	E1767
Q0590	E1630
Q0591	E1950
Q0592	E0760
Q0593	E0286
Q0594	G0160
Q0595	E1799
Q0596	E1881
Q0597	E1609
Q0598	E0112
Q0599	G0319
Q0600	E1532
Q0601	E0020
Q0602	E1546
Q0603	G0286
Q0604	E1829
Q0605	E1842
Q0606	E0051
Q0607	G0177
Q0608	E1580
Q0609	E1595
Q0610	E1597
Q0611	E1890
Q0612	E1907
Q0613	E1984
Q0614	E1655
Q0615	E1659
Q0616	E0150
Q0617	E0233
Q0618	E0243
Q0619	E0946
Q0620	G0215
Q0621	E0375
Q0622	E1798
Q0623	E1854
Q0624	E0063
Q0625	E1600
Q0626	E0701
Q0627	E2024
Q0628	E1013
Q0629	E0373
Q0630	G0017
Q0631	G0343
Q0632	G0016
Q0633	G0018
Q0634	E0052
Q0635	E0256
Q0636	G0362
Q0637	G0361
Q0638	G0021
Q0639	G0020
Q0640	G0473
Q0641	G0019
Q0642	G0277
Q0643	E0700
Q0644	G0278
Q0645	E1015
Q0646	E0487
Q0647	E0170
Q0648	E0237
Q0649	G0474
Q0650	E1215
Q0651	E1231
Q0652	E0203
Q0653	G0339
Q0654	E0363
Q0655	E0003
Q0656	E0018
Q0657	E0033
Q0658	E0090
Q0659	E0104
Q0660	E0113
Q0661	E1971
Q0662	E0746
Q0663	G0322
Q0664	E0262
Q0665	G0329
Q0666	E0334
Q0667	E1784
Q0668	E1545
Q0669	E1862
Q0670	E0065
Q0671	E0657
Q0672	E1584
Q0673	E0118
Q0674	E2006
Q0675	E0330
Q0676	E1708
Q0677	E1803
Q0678	E1563
Q0679	G0214
Q0680	E1657
Q0681	E0435
Q0682	E1556
Q0683	E1564
Q0684	E1839
Q0685	E1578
Q0686	E0839
Q0687	E0226
Q0688	E0988
Q0689	E1509
Q0690	E0026
Q0691	G0333
Q0692	G0332
Q0693	E0426
Q0694	E0432
Q0695	E0434
Q0696	E0643
Q0697	E0586
Q0698	E0650
Q0699	G0475
Q0700	E0196
Q0701	E1550
Q0702	E1813
Q0703	E1613
Q0704	E1654
Q0705	G0282
Q0706	E0197
Q0707	E2043
Q0708	G0283
Q0709	E1703
Q0710	E1601
Q0711	E1998
Q0712	G0354
Q0713	G0355
Q0714	E1510
Q0715	E1171
Q0716	E1554
Q0717	E1589
Q0718	G0135
Q0719	E0290
Q0720	E0539
Q0721	E0060
Q0722	E0231
Q0723	E0637
Q0724	G0132
Q0725	E0312
Q0726	E0524
Q0727	E1570
Q0728	G0316
Q0729	G0315
Q0730	E1529
Q0731	E0092
Q0732	E0806
Q0733	E1701
Q0734	E0004
Q0735	E1902
Q0736	G0364
Q0737	G0363
Q0738	E1409
Q0739	E0195
Q0740	G0336
Q0741	G0266
Q0742	G0335
Q0743	G0267
Q0744	E1293
Q0745	G0171
Q0746	E0155
Q0747	E1684
Q0748	G0236
Q0749	G0148
Q0750	G0161
Q0751	E1081
Q0752	E1901
Q0753	E0854
Q0754	G0154
Q0755	E0242
Q0756	G0345
Q0757	E0344
Q0758	G0167
Q0759	E0127
Q0760	E0067
Q0761	G0476
Q0762	E0245
Q0763	G0090
Q0764	G0092
Q0765	G0091
Q0766	G0269
Q0767	G0212
Q0768	G0095
Q0769	G0093
Q0770	G0281
Q0771	G0094
Q0772	E1779
Q0773	E1795
Q0774	E0457
Q0775	E1869
Q0776	E1625
Q0777	E0744
Q0778	E0154
Q0779	E0879
Q0780	E2062
Q0781	E1059
Q0782	E1860
Q0783	E1946
Q0784	E1636
Q0785	G0323
Q0786	E2080
Q0787	E1284
Q0788	E1337
Q0789	G0337
Q0790	G0324
Q0791	E0027
Q0792	E0139
Q0793	G0331
Q0794	G0330
Q0795	E0416
Q0796	E0031
Q0797	E0137
Q0798	E0870
Q0799	E0287
Q0800	E0318
Q0801	G0338
Q0802	E1092
Q0803	E1856
Q0804	G0320
Q0805	E1406
Q0806	E0185
Q0807	E0848
Q0808	E0939
Q0809	E1213
Q0810	E0660
Q0811	E0183
Q0812	E0313
Q0813	E1175
Q0814	G0296
Q0815	G0298
Q0816	G0297
Q0817	E0016
Q0818	E1537
Q0819	E0448
Q0820	E0497
Q0821	E1931
Q0822	G0321
Q0823	E0859
Q0824	E0271
Q0825	E0981
Q0826	E1030
Q0827	E0376
Q0828	E0419
Q0829	E1538
Q0830	E1616
Q0831	G0187
Q0832	E0292
Q0833	G0239
Q0834	G0097
Q0835	G0098
Q0836	G0096
Q0837	G0099
Q0838	G0291
Q0839	E0450
Q0840	E0513
Q0841	G0228
Q0842	E0045
Q0843	E0812
Q0844	E0860
Q0845	E0217
Q0846	E0273
Q0847	E0295
Q0848	E0320
Q0849	E0378
Q0850	E0009
Q0851	E0406
Q0852	G0231
Q0853	E1838
Q0854	E0069
Q0855	E1692
Q0856	E0285
Q0857	E1290
Q0858	G0252
Q0859	G0253
Q0860	G0254
Q0861	E2055
Q0862	G0174
Q0863	G0024
Q0864	G0022
Q0865	G0023
Q0866	G0257
Q0867	E0110
Q0868	G0255
Q0869	G0256
Q0870	E1093
Q0871	E0096
Q0872	E0649
Q0873	E2022
Q0874	E0840
Q0875	E0890
Q0876	E0965
Q0877	E0991
Q0878	E0349
Q0879	E1068
Q0880	E0532
Q0881	G0260
Q0882	E0824
Q0883	G0259
Q0884	G0258
Q0885	G0100
Q0886	G0261
Q0887	G0102
Q0888	G0101
Q0889	E0410
Q0890	E0489
Q0891	E0704
Q0892	G0245
Q0893	E0206
Q0894	G0027
Q0895	G0025
Q0896	G0026
Q0897	G0454
Q0898	G0453
Q0899	G0162
Q0900	G0030
Q0901	G0028
Q0902	G0455
Q0903	G0457
Q0904	G0029
Q0905	G0456
Q0906	E1502
Q0907	E1742
Q0908	E1791
Q0909	E0503
Q0910	E1835
Q0911	E1844
Q0912	E1871
Q0913	E0602
Q0914	E0089
Q0915	E1904
Q0916	E0640
Q0917	E0681
Q0918	E0717
Q0919	E0742
Q0920	E0767
Q0921	E2030
Q0922	E0791
Q0923	E0847
Q0924	E0421
Q0925	G0389
Q0926	G0388
Q0927	G0390
Q0928	G0166
Q0929	E0101
Q0930	E0740
Q0931	G0458
Q0932	G0240
Q0933	G0032
Q0934	G0459
Q0935	G0031
Q0936	G0033
Q0937	G0036
Q0938	G0035
Q0939	G0034
Q0940	G0460
Q0941	G0038
Q0942	G0185
Q0943	G0037
Q0944	G0039
Q0945	E0476
Q0946	E0522
Q0947	E0568
Q0948	E0642
Q0949	E0747
Q0950	G0349
Q0951	E0266
Q0952	E0315
Q0953	E0321
Q0954	E0324
Q0955	E0326
Q0956	E0327
Q0957	E0336
Q0958	E0343
Q0959	E1025
Q0960	E0132
Q0961	G0183
Q0962	E0228
Q0963	E0277
Q0964	E1918
Q0965	G0357
Q0966	G0356
Q0967	G0358
Q0968	E1155
Q0969	E0469
Q0970	E0601
Q0971	E0668
Q0972	G0156
Q0973	E0874
Q0974	E0282
Q0975	E0389
Q0976	E0007
Q0977	E0536
Q0978	E0070
Q0979	G0143
Q0980	E0192
Q0981	E0905
Q0982	E0261
Q0983	E0932
Q0984	E0294
Q0985	E0265
Q0986	E0970
Q0987	G0350
Q0988	E1007
Q0989	E1038
Q0990	E1102
Q0991	E1513
Q0992	E1755
Q0993	E1560
Q0994	E1683
Q0995	E2036
Q0996	G0193
Q0997	G0289
Q0998	G0211
Q0999	G0040
Q1000	G0042
Q1001	G0041
Q1002	G0477
Q1003	G0043
Q1004	G0478
Q1005	G0044
Q1006	G0045
Q1007	E0456
Q1008	E0556
Q1009	E0095
Q1010	E1981
Q1011	G0351
Q1012	G0352
Q1013	E0297
Q1014	E0322
Q1015	E0339
Q1016	G0141
Q1017	E0377
Q1018	E1386
Q1019	G0295
Q1020	G0411
Q1021	G0292
Q1022	E0303
Q1023	G0293
Q1024	G0294
Q1025	G0412
Q1026	E0040
Q1027	E0049
Q1028	G0304
Q1029	G0303
Q1030	G0306
Q1031	E0284
Q1032	G0413
Q1033	G0414
Q1034	G0305
Q1035	G0191
Q1036	G0299
Q1037	G0418
Q1038	G0416
Q1039	G0415
Q1040	G0301
Q1041	G0302
Q1042	G0417
Q1043	G0300
Q1044	E0340
Q1045	G0048
Q1046	G0308
Q1047	G0046
Q1048	G0047
Q1049	G0420
Q1050	G0309
Q1051	G0419
Q1052	G0307
Q1053	G0051
Q1054	G0049
Q1055	G0192
Q1056	G0421
Q1057	G0310
Q1058	G0422
Q1059	G0423
Q1060	G0050
Q1061	E0182
Q1062	G0194
Q1063	G0424
Q1064	G0312
Q1065	G0425
Q1066	E0291
Q1067	G0311
Q1068	E0369
Q1069	G0426
Q1070	G0428
Q1071	G0052
Q1072	G0427
Q1073	G0053
Q1074	G0054
Q1075	G0057
Q1076	G0430
Q1077	G0429
Q1078	G0055
Q1079	G0431
Q1080	G0056
Q1081	E1758
Q1082	E0048
Q1083	E0164
Q1084	E0280
Q1085	E1704
Q1086	E0301
Q1087	E1724
Q1088	G0241
Q1089	E1407
Q1090	E0257
Q1091	E1488
Q1092	E1122
Q1093	E0451
Q1094	G0176
Q1095	E0283
Q1096	E1540
Q1097	E2007
Q1098	G0208
Q1099	G0344
Q1100	E1706
Q1101	G0060
Q1102	G0059
Q1103	G0479
Q1104	G0058
Q1105	E0006
Q1106	E0021
Q1107	E0684
Q1108	E0708
Q1109	E0198
Q1110	E0215
Q1111	E1693
Q1112	G0209
Q1113	E0350
Q1114	E2067
Q1115	E1278
Q1116	E1304
Q1117	E0669
Q1118	E0234
Q1119	E0994
Q1120	E0353
Q1121	E1470
Q1122	E1480
Q1123	E1761
Q1124	E1524
Q1125	E0596
Q1126	E1963
Q1127	E0308
Q1128	E0317
Q1129	E1024
Q1130	E1786
Q1131	E1225
Q1132	E0079
Q1133	E1619
Q1134	E0557
Q1135	E0168
Q1136	E0288
Q1137	E0298
Q1138	E1124
Q1139	E0423
Q1140	E0567
Q1141	E0645
Q1142	E1314
Q1143	E0736
Q1144	E0918
Q1145	E0956
Q1146	E0977
Q1147	E1034
Q1148	E1035
Q1149	E1306
Q1150	E1328
Q1151	E0771
Q1152	E0869
Q1153	E0893
Q1154	E0933
Q1155	E1021
Q1156	E0388
Q1157	E0392
Q1158	E0400
Q1159	E0422
Q1160	E0531
Q1161	E0566
Q1162	E0606
Q1163	E0613
Q1164	E0123
Q1165	E0131
Q1166	E0728
Q1167	E0966
Q1168	E0972
Q1169	E0979
Q1170	E1032
Q1171	E1033
Q1172	E1089
Q1173	E1752
Q1174	E0408
Q1175	E1769
Q1176	E1780
Q1177	E0499
Q1178	E0540
Q1179	E1899
Q1180	E1312
Q1181	E1650
Q1182	E1992
Q1183	E1668
Q1184	E0772
Q1185	E0787
Q1186	E0796
Q1187	E0799
Q1188	E0811
Q1189	G0342
Q1190	G0213
Q1191	E0891
Q1192	E0895
Q1193	E0947
Q1194	E0948
Q1195	E0325
Q1196	E1484
Q1197	E1486
Q1198	E0391
Q1199	G0202
Q1200	E0579
Q1201	E0585
Q1202	E0598
Q1203	E0652
Q1204	E0686
Q1205	E1402
Q1206	E0818
Q1207	E0881
Q1208	E0889
Q1209	E0926
Q1210	E0955
Q1211	G0341
Q1212	G0063
Q1213	G0480
Q1214	G0062
Q1215	G0061
Q1216	E0405
Q1217	E0518
Q1218	E0519
Q1219	E1993
Q1220	E0727
Q1221	E2046
Q1222	E0088
Q1223	G0325
Q1224	G0326
Q1225	G0327
Q1226	E0784
Q1227	G0445
Q1228	G0360
Q1229	E0247
Q1230	G0446
Q1231	G0359
Q1232	E0398
Q1233	E1932
Q1234	E0693
Q1235	E0178
Q1236	G0334
Q1237	G0365
Q1238	G0447
Q1239	E0404
Q1240	E0433
Q1241	E0638
Q1242	E0737
Q1243	E0773
Q1244	E0875
Q1245	G0353
Q1246	G0448
Q1247	E0438
Q1248	E0527
Q1249	E0802
Q1250	G0233
Q1251	G0450
Q1252	G0449
Q1253	E0980
Q1254	E1746
Q1255	E0393
Q1256	E1514
Q1257	E1775
Q1258	E1824
Q1259	E1868
Q1260	E1883
Q1261	E1982
Q1262	E1646
Q1263	E0511
Q1264	E0755
Q1265	E0822
Q1266	E0892
Q1267	G0451
Q1268	E0976
Q1269	E0982
Q1270	G0452
Q1271	E1167
Q1272	E0480
Q1273	E1235
Q1274	E0561
Q1275	E0620
Q1276	E1326
Q1277	E0810
Q1278	E0829
Q1279	E1158
Q1280	E0502
Q1281	G0168
Q1282	E1266
Q1283	E0616
Q1284	E0177
Q1285	E0856
Q1286	E0876
Q1287	E0877
Q1288	G0152
Q1289	G0244
Q1290	G0153
Q1291	E1468
Q1292	E0544
Q1293	E0656
Q1294	E0940
Q1295	E1003
Q1296	E0356
Q1297	E1039
Q1298	E1500
Q1299	E1389
Q1300	G0158
Q1301	G0285
Q1302	G0284
Q1303	E1126
Q1304	E0474
Q1305	G0222
Q1306	E0677
Q1307	E0867
Q1308	E0927
Q1309	E0987
Q1310	E1009
Q1311	G0104
Q1312	G0105
Q1313	G0103
Q1314	G0106
Q1315	G0107
Q1316	G0110
Q1317	G0109
Q1318	G0481
Q1319	G0108
Q1320	G0112
Q1321	G0113
Q1322	G0482
Q1323	G0111
Q1324	G0483
Q1325	G0114
Q1326	G0115
Q1327	G0116
Q1328	E1921
Q1329	E1639
Q1330	E0176
Q1331	E0181
Q1332	G0432
Q1333	G0433
Q1334	E1498
Q1335	E1156
Q1336	E0570
Q1337	G0435
Q1338	G0246
Q1339	G0436
Q1340	G0434
Q1341	E1074
Q1342	G0173
Q1343	E1244
Q1344	E0072
Q1345	E1181
Q1346	E0658
Q1347	G0437
Q1348	E0995
Q1349	E1077
Q1350	E0076
Q1351	E0800
Q1352	E0179
Q1353	G0438
Q1354	G0439
Q1355	E1408
Q1356	G0391
Q1357	G0392
Q1358	G0393
Q1359	E0022
Q1360	E0074
Q1361	G0440
Q1362	G0441
Q1363	E0348
Q1364	E0359
Q1365	E1063
Q1366	G0064
Q1367	G0067
Q1368	G0066
Q1369	G0444
Q1370	G0443
Q1371	G0065
Q1372	G0442
Q1373	G0395
Q1374	G0394
Q1375	G0117
Q1376	G0119
Q1377	G0220
Q1378	G0118
Q1379	G0396
Q1380	G0120
Q1381	G0397
Q1382	G0121
Q1383	G0398
Q1384	G0399
Q1385	G0400
Q1386	G0122
Q1387	G0401
Q1388	G0125
Q1389	G0404
Q1390	G0124
Q1391	G0402
Q1392	G0403
Q1393	G0123
Q1394	G0127
Q1395	G0406
Q1396	G0126
Q1397	G0238
Q1398	G0405
Q1399	G0225
Q1400	G0407
Q1401	G0128
Q1402	G0129
Q1403	G0131
Q1404	G0409
Q1405	G0410
Q1406	G0408
Q1407	G0130
Q1408	G0068
Q1409	G0069
