eid	origin	source	name	slot	rarity	groups	mechanic	status
E0054	catalog	CARD_CATALOG	Flash		Uncommon	type;combo;gamble	The first time this card would score each show it scores triple; every later score that show is zero.	
E0055	catalog	CARD_CATALOG	Flash Mob		Epic	skill;Acrobat;movement;formation	Cue, once per show: deploy the entire Grand Entrance onto the board in one action, columns assigned left-to-right automatically.	
E0056	catalog	CARD_CATALOG	Flea Circus		Common	skill;Animal Trainer;combo	When scored, counts as five rank-1 cards for combo-counting purposes (not points).	
E0057	catalog	CARD_CATALOG	Fool's License		Rare	skill;Clown;rule;secret	While spotlit, choose one rule card in the rules deck whose effect is ignored.	
E0058	catalog	CARD_CATALOG	Foot of God		Legendary	skill;god-cycle;movement	Cue: this card switches locations with any card on screen (board, Entrance, or decks).	
E0059	catalog	CARD_CATALOG	Frankenstein		Rare	skill;Magician;formation;persistence	On submit, merges with the cards directly above and below it into one 3-card stack of summed rank that stays in the zone after scoring.	
E0060	catalog	CARD_CATALOG	Free Undo		Common	rule;meta	Grants one free undo per turn that does not carry over.	
E0061	catalog	CARD_CATALOG	Genie's Wish		Rare	consumable;deck-manip;collection	Consumable: choose any card in your deck and create a full copy of it in the Entrance for this show, which becomes permanent in the deck afterward.	
E0062	catalog	CARD_CATALOG	Ghost Light		Uncommon	stamp;spotlight	This card does not block the Spotlight of cards beneath it; they stay active as if uncovered.	
E0063	catalog	CARD_CATALOG	Glass		Uncommon	type;destruction;gamble	Scores double points, and is destroyed permanently after its third score.	
E0064	catalog	CARD_CATALOG	Global		Rare	stamp;spotlight;deck-manip	This card's modifiers are active from anywhere: board, Entrance, draw deck, or discard.	
E0065	catalog	CARD_CATALOG	Gold		Rare	suit;economy;token;Producer	Gold-suit cards count as currency at full trade value in shops; when a Gold card scores, it mints a Heavy Gold token card to the deck bottom.	Modified (type instead of suit, effect is that it increases its own cost, is heavy) (gold gen should be its own talent)
E0066	catalog	CARD_CATALOG	Gold Card		Common	skill;Producer;economy;token	Money token: full trade value at shops, always sinks to the deck bottom (Heavy), and scores 0 in melds.	
E0067	catalog	CARD_CATALOG	Golden Buzzer		Legendary	consumable;protection;meta	Consumable, once per run: skips one town's requirement entirely for an instant win with full rewards.	
E0068	catalog	CARD_CATALOG	Grand Spec		Epic	skill;Special Effects;formation;combo	If all columns scored a meld this act, doubles the act's combo multiplier.	
E0069	catalog	CARD_CATALOG	Grand Vanish		Epic	skill;Magician;protection;formation	Cue, once per show: hide an entire column so it cannot be seen, targeted, scored, or touched for one turn; it then returns with bonus points on every card.	
E0070	catalog	CARD_CATALOG	Greasepaint		Uncommon	stamp;Clown	This card counts as a Clown-class card in addition to its own class.	
E0071	catalog	CARD_CATALOG	Grock's Instrument		Rare	skill;Clown;movement;gamble	Each act this card would score, it instead hops one column away and banks the points; when it has no legal hop left, it scores everything banked at once.	
E0072	catalog	CARD_CATALOG	Half-Step		Uncommon	pip;movement;freakshow	This card has rank N and a half, letting it stack legally between rank N and N+1 in runs, but it never participates in poker melds.	Added (makes more sense as hat)
E0073	catalog	CARD_CATALOG	Hall of Mirrors		Epic	hazard;secret;formation	Boss: duplicates the board's reflection with fake copies of your cards interleaved into rows; they score 0.	
E0074	catalog	CARD_CATALOG	Hanafuda Reskin		Rare	skill;Costume Designer;secret;protection	When a town outlaws a suit, all your cards of that suit count as the suit of the adjacent card for that show.	
E0075	catalog	CARD_CATALOG	Hand of God		Legendary	skill;god-cycle;movement;deck-manip	Cue: move any card to any board location ignoring legality, or reorder the cards inside any deck.	
E0076	catalog	CARD_CATALOG	Harlequin		Rare	pip;prop;combo	This card counts as both of its printed suits for every comparison, meld, and suit effect, firing both suits' props.	vetoed (2 suit suit is boring)
E0077	catalog	CARD_CATALOG	Heavy		Common	type;deck-manip	After any shuffle or return to deck, this card sinks to the deck bottom.	
E0078	catalog	CARD_CATALOG	Helium		Common	type;deck-manip	After any shuffle or return to deck, this card rises to the top and is always the first card drawn on Next.	
E0079	catalog	CARD_CATALOG	Hey Rube!		Rare	hazard;status;formation	Boss: each submit, every card in the rightmost column gets Exhausted unless an Escape Artist-class card stands in that column.	
E0080	catalog	CARD_CATALOG	Hikinuki		Uncommon	skill;Costume Designer;collection;combo	On scoring, swaps this card's stamp with any stamp held in reserve.	
E0081	catalog	CARD_CATALOG	HONK		Common	skill;Clown;joke	Cue: makes a honk sound, with unlimited uses and no other effect.	
E0082	catalog	CARD_CATALOG	Hoops		Common	suit;prop;combo	When a Hoops card scores, hoop props sweep the scored row and re-score every skill card they pass through; talented spawners suppress their own suit effect.	Added
E0083	catalog	CARD_CATALOG	Hooptown's Snub		Uncommon	hazard;prop	Town hazard: Hoops-suit effects score nothing here.	
E0084	catalog	CARD_CATALOG	Hopak Burst		Uncommon	skill;Acrobat;Dancer;movement;formation	Cue, 1 charge per show: jumps this card's entire stack one row upward in its column, sliding everything beneath up.	
E0085	catalog	CARD_CATALOG	Human Cannonball		Rare	skill;Acrobat;movement	Cue: fire the bottom card of any column to the top of any other column.	
E0086	catalog	CARD_CATALOG	Humbug		Rare	skill;Producer;secret;gamble	While covered, counts as a copy of the most valuable card in its row; when uncovered, is revealed as junk (rank 2, base score only).	
E0087	catalog	CARD_CATALOG	Hungry Hippo		Uncommon	skill;Animal Trainer;destruction;growth	Consumes cards dropped onto it, adding their rank to its own up to a cap of 13, and returns everything eaten at show end.	
E0088	catalog	CARD_CATALOG	Hype Poster		Uncommon	consumable;gamble;economy	Consumable: doubles the next show's fame requirement, in exchange for its rewards (pack quality, rarity odds) scaling up two tiers.	
E0089	catalog	CARD_CATALOG	Input Column		Common	rule;movement	One per column: on Next, drops its upper-zone stack into the paired board column, then draws a card from the deck to refill.	
E0090	catalog	CARD_CATALOG	Iron Body		Uncommon	stamp;protection	Immune to the first destruction or debuff that targets this card each show.	
E0091	catalog	CARD_CATALOG	Joey Grimaldi		Epic	leader;Clown;movement;combo	Leader: once per turn, freely swaps the ranks of any two adjacent cards without spending a cue.	
E0092	catalog	CARD_CATALOG	John Robinson		Uncommon	hazard;economy	Elite hazard: the show is shortened to 2 submits instead of 3, with the goal unchanged.	
E0093	catalog	CARD_CATALOG	Juggletown's Snub		Uncommon	hazard;prop;status	Town hazard: Balls-suit effects score nothing here, though Juggling statuses still apply.	
E0094	catalog	CARD_CATALOG	Jumbo		Epic	skill;Animal Trainer;formation;movement	Heavy: no cards may be placed on this card, but it can be placed on anything; scores bonus points per card beneath it when scored.	
E0095	catalog	CARD_CATALOG	Karagöz & Hacivat		Rare	skill;Dancer;formation;spotlight	Bound pair: each gains bonus multiplier while they are in opposite zones (one in the Entrance, one on the board).	
E0096	catalog	CARD_CATALOG	Kayfabe		Epic	rule;secret;gamble	While in play, all Gaff/Humbug/fake cards count as real and score as what they pretend to be; removing this card reverts that.	
E0097	catalog	CARD_CATALOG	Klyaksa		Common	skill;Animal Trainer;Clown;token	Comes with a free rank-1 token card that shuffles into the deck and follows this card's column when drawn.	
E0098	catalog	CARD_CATALOG	Knifetown's Snub		Uncommon	hazard;prop	Town hazard: Knives-suit effects score nothing here.	
E0099	catalog	CARD_CATALOG	Knives		Common	suit;prop;economy	Knife props launch from the opposite row edge and score plain non-skill prop cards they pass; the spawner also scores itself.	Added
E0100	catalog	CARD_CATALOG	Kuroko		Rare	stamp;spotlight;protection	This card does not block Spotlight beneath it and cannot be targeted by boss or town effects.	
E0101	catalog	CARD_CATALOG	Label		Uncommon	rule;info;secret	While this rule card is in the (normally hidden) rules deck, its effect text is announced on the board.	
E0102	catalog	CARD_CATALOG	Liberty Horses		Uncommon	skill;Animal Trainer;deck-manip;formation	On Next, all Animal-class cards in the Grand Entrance rearrange into ascending rank order before dropping.	
E0103	catalog	CARD_CATALOG	Lithograph		Rare	type;spotlight	While this card sits in the Grand Entrance its skill is active globally; on the board it has no effect.	
E0104	catalog	CARD_CATALOG	Lloyd's Policy		Rare	stamp;protection;economy	The first time this card would be destroyed or debuffed, prevent it and mint 2 Gold tokens instead.	
E0105	catalog	CARD_CATALOG	Lot Lice		Common	hazard;economy	Town hazard: the first submit each show scores 0 fame.	
E0106	catalog	CARD_CATALOG	Lucky Streak		Uncommon	skill;Fortune Teller;meta;random	Grants +1 reroll per shop visit; after it activates, repeated actions for the rest of the show never repeat identical results.	
E0107	catalog	CARD_CATALOG	Mabel's Tigers		Rare	skill;Animal Trainer;destruction;growth	Consumes prop (skill-less) cards dropped on it, gaining +1 rank per card eaten, with no cap, permanently.	
E0108	catalog	CARD_CATALOG	Madame Zora's Eye		Rare	skill;Fortune Teller;info	The next card to be drawn is always visible above the deck slot while this card is anywhere in play.	
E0109	catalog	CARD_CATALOG	Mallakhamb Pole		Uncommon	skill;Acrobat;formation;combo	While spotlit, every card in this card's column gains bonus points per row of column height when the column scores.	
E0110	catalog	CARD_CATALOG	Marked		Common	stamp;info;deck-manip	Always shows this card's position in the draw deck.	
E0111	catalog	CARD_CATALOG	Marotte		Uncommon	stamp;destruction;protection	When this card is destroyed, a rank-1 copy of it (same skill, no stamp) survives in its place.	
E0112	catalog	CARD_CATALOG	Maximum Effort		Uncommon	stamp;gamble;persistence	Doubles this card's points on score; afterward it is Exhausted (scores nothing) until a show passes in which it was never played.	
E0113	catalog	CARD_CATALOG	Meal Call		Uncommon	skill;Concessions;status;protection	Cue, once per show: every card on the board removes one debuff or status.	
E0114	catalog	CARD_CATALOG	Metamorphosis		Rare	skill;Magician;deck-manip;gamble	Cue: swap this card with any card in the draw deck (seen or unseen), taking its board position.	
E0115	catalog	CARD_CATALOG	Milk Can		Uncommon	skill;Escape Artist;protection;deck-manip	Cue: place one board card inside the can, safe and out of play; cue again on a later turn to retrieve it to the Entrance.	
E0116	catalog	CARD_CATALOG	Misdirection		Uncommon	skill;Magician;spotlight	While spotlit, the topmost covered card in each adjacent column is also treated as spotlit.	
E0117	catalog	CARD_CATALOG	Mr. Punch		Uncommon	skill;Clown;destruction;combo	Each act, gains points for every adjacent card debuffed or destroyed.	
E0118	catalog	CARD_CATALOG	Mud Show		Common	hazard;movement;economy	Town hazard: every stack pickup this show costs 1 discard from the deck top.	
E0119	catalog	CARD_CATALOG	Mystery Box		Common	skill;Magician;random	On game start, this card becomes a random skill for the rest of the run, deterministic per seed.	
E0120	catalog	CARD_CATALOG	Null		Uncommon	type;hazard;freakshow	Junk material inserted by hazards: occupies a slot, scores nothing, and melds nothing.	
E0121	catalog	CARD_CATALOG	OG Grabber		Common	rule;movement	Default grab legality: a stack may be picked up if it is an ascending or descending run with no two same-suit cards adjacent.	
E0122	catalog	CARD_CATALOG	OG Placer		Common	rule;movement	Default placement legality: a stack may be placed where the join continues a legal run without same-suit contact.	
E0123	catalog	CARD_CATALOG	Outlawed		Rare	type;gamble;economy	In pious/lawful towns this card cannot score at all; everywhere else it scores double.	
E0124	catalog	CARD_CATALOG	Pagliacci		Uncommon	skill;Clown;status;gamble	Gains bonus multiplier while this card carries any debuff or negative status.	
E0125	catalog	CARD_CATALOG	Pandora's Box		Uncommon	skill;Magician;random	On game start becomes a random skill; on game end resets back to this skill.	
E0126	catalog	CARD_CATALOG	Paper		Common	type	Default material with no modifier behavior.	Added
E0127	catalog	CARD_CATALOG	Paper the House		Rare	consumable;protection;economy	Consumable: auto-passes one town's fame check, but grants zero fame and zero rewards from it.	
E0128	catalog	CARD_CATALOG	Peanut Pitch		Common	skill;Concessions;charges	Cue, 3 charges per show: gives bonus points to any one card on the board.	
E0129	catalog	CARD_CATALOG	Pepper's Ghost		Rare	skill;Magician;formation;combo	While spotlit, an intangible duplicate of this card appears in the opposite zone; it scores in melds but cannot be touched, moved, or targeted.	
E0130	catalog	CARD_CATALOG	Performance Rings		Rare	rule;formation;combo	Rows 1-5 pay 1x, rows 6-10 pay 2x, rows 11-15 pay 3x, and so on by board depth.	
E0131	catalog	CARD_CATALOG	Pierrot		Uncommon	skill;Clown;Dancer;gamble	Gains bonus multiplier on odd-numbered shows of the tour; has no effect otherwise.	
E0132	catalog	CARD_CATALOG	Pink Lemonade		Common	skill;Concessions;combo	When a Flames card and a Concessions card score in the same row, gain bonus points and draw 1 card.	
E0133	catalog	CARD_CATALOG	Poker Crown		Uncommon	skill;Special Effects;formation;combo	When scored, this card and the 4 cards directly above it in its column are also evaluated as a poker hand, once.	
E0134	catalog	CARD_CATALOG	Poker Evaluator		Common	rule;combo	Evaluates each scored line for its best poker hand; only the best poker hand per line pays.	
E0135	catalog	CARD_CATALOG	Popcorn Cascade		Uncommon	skill;Concessions;deck-manip;combo	Whenever a column of 4 or more cards scores, draw 1 card.	
E0136	catalog	CARD_CATALOG	Presentation		Uncommon	skill;Dancer;combo;movement	While spotlit, each time a placed card's rank is higher than the last card placed, gain +1 combo for the act.	
E0137	catalog	CARD_CATALOG	Press Bribery		Epic	skill;Producer;protection;gamble;meta	Once: on failing a city, keep touring as if it were won; if still unspent by the final city, converts to an automatic win there.	
E0138	catalog	CARD_CATALOG	Psycho		Rare	skill;Magician;deck-manip;movement	Every Next, automatically plays the top card of the draw deck into this card's column.	
E0139	catalog	CARD_CATALOG	Railroad Jump		Rare	hazard;destruction;meta	Map-edge hazard: traveling this route costs one card, permanently removed from the deck.	
E0140	catalog	CARD_CATALOG	Rare		Rare	skill;Producer;economy;meta	While in the deck, doubles the chance of Epic cards appearing in packs/shops.	
E0141	catalog	CARD_CATALOG	Revealing		Uncommon	stamp;spotlight	This card's modifiers stay active while covered.	
E0142	catalog	CARD_CATALOG	Ring Column		Common	rule;formation	One per column: adds one board (lower zone) column at game creation; its rank equals which column it is.	
E0143	catalog	CARD_CATALOG	Ringmaster's Grip		Rare	stamp;movement	This card and the stack it heads can always be picked up, regardless of stack legality.	
E0144	catalog	CARD_CATALOG	Roman Numerals		Common	pip;cosmetic	This card's rank displays as Roman numerals; melds, stacking and comparisons are unaffected.	Added
E0145	catalog	CARD_CATALOG	Rosin		Uncommon	type;movement;formation	Cards placed onto this card cannot be picked up again, but score +1 bonus per ring deeper than they stand.	
E0146	catalog	CARD_CATALOG	Sawdust		Common	type;discard;Concessions	When this card is discarded from the board, its slot keeps a marker that gives the next card placed there bonus points on its first score.	
E0147	catalog	CARD_CATALOG	Sawing in Half		Uncommon	skill;Magician;deck-manip;movement	Cue: split a target card into two same-suit cards of half rank (one rounded up, one down); this card exhausts for the show.	
E0148	catalog	CARD_CATALOG	Searing Knife		Rare	skill;Escape Artist;gamble;formation;hazard	When scored, its column pays 3x this act but is locked (no placement or grabs) for the next 2 turns.	
E0149	catalog	CARD_CATALOG	Second Act		Uncommon	type;deck-manip	After every shuffle, this card is placed exactly at the deck's midpoint and enters play alone.	
E0150	catalog	CARD_CATALOG	Self-Granted Title		Rare	stamp;economy;info	This card counts as one rarity higher for all effects and bonuses, but not for pack or shop pool rolls.	
E0151	catalog	CARD_CATALOG	Sin of Gluttony		Epic	skill;Animal Trainer;destruction;growth	Consumes cards from anywhere (board, Entrance, or decks, via cue), with no cap, permanently gaining rank.	
E0152	catalog	CARD_CATALOG	Slapstick		Common	skill;Clown;movement;combo	Cue: swap the ranks of this card and one adjacent card.	
E0153	catalog	CARD_CATALOG	Sliced Bread		Uncommon	skill;Special Effects;formation;combo	On submission, if a same-suit card sits lower in this card's stack, gain a point per card between them.	
E0154	catalog	CARD_CATALOG	Snake Oil		Common	consumable;gamble;status	Consumable: gives +3 rank to one card this show, with a seeded 1-in-4 chance of doing nothing.	
E0155	catalog	CARD_CATALOG	Soundcheck		Uncommon	rule;movement;meta	At show start, grants one free move (grab and place one stack) before the first Next, without spending an act.	
E0156	catalog	CARD_CATALOG	Spangle		Common	stamp;combo	The first time this card is part of any scored meld each act, it adds +1 to the act's combo.	
E0157	catalog	CARD_CATALOG	Spiderweb		Uncommon	skill;Dancer;formation	When scored, gains +1 point per card diagonally adjacent to it.	
E0158	catalog	CARD_CATALOG	Spirit Photo		Uncommon	consumable;gamble;token	Consumable: creates an intangible ghost copy of an owned card that plays for one show at half score, then disappears.	
E0159	catalog	CARD_CATALOG	Stone		Uncommon	type;movement;protection	Once placed on the board this card cannot be grabbed again, and it scores a bonus for remaining unmoved.	
E0160	catalog	CARD_CATALOG	Straitjacket		Common	skill;Escape Artist;movement;gamble	Starts each show unable to be moved; frees itself and scores bonus points the first time its column scores.	
E0161	catalog	CARD_CATALOG	Sword Swallower		Epic	rule;secret;formation	Hidden rule: a column that is one perfect descending run from top to floor pays a large bonus and mints a Knife-suit card.	
E0162	catalog	CARD_CATALOG	Symmetrical Show		Rare	rule;combo;formation	Poker hands are also evaluated on columns in addition to rows.	
E0163	catalog	CARD_CATALOG	Tappable Clown		Uncommon	skill;Clown;random;charges	3 charges per show: cue to deterministically re-roll the ranks of all adjacent cards.	
E0164	catalog	CARD_CATALOG	Temperance Town		Uncommon	hazard;economy	Town hazard: Concessions-class cards are disabled and shop prices are doubled.	
E0165	catalog	CARD_CATALOG	The Accountant		Rare	skill;meta-effect;combo;economy	At payout, before row x column multiplication, shift up to 20% of the larger axis total onto the smaller, costing 2 combo to invoke.	
E0166	catalog	CARD_CATALOG	The Acrobat		Uncommon	skill;Acrobat;movement	This card can be grabbed even while covered; the cards above cascade down one slot.	
E0167	catalog	CARD_CATALOG	The Advance Campaign		Rare	skill;Producer;economy;gamble	Cue before a show: spend N Gold tokens to multiply that show's fame payout by 1 + N/10.	
E0168	catalog	CARD_CATALOG	The Advance Man		Uncommon	consumable;info;meta	Consumable: reveals all fog-of-war nodes within 2 edges of the player's position, including contents.	
E0169	catalog	CARD_CATALOG	The Aerialist		Legendary	leader;combo;gamble	Leader: re-scores the topmost meld once per submit, but is destroyed permanently if her column ever fails to score.	
E0170	catalog	CARD_CATALOG	The Alchemist		Uncommon	skill;meta-effect;status	Cue: transmute all statuses of one class on a target card into another class, count preserved.	
E0171	catalog	CARD_CATALOG	The Ambitious Card		Rare	skill;Magician;deck-manip	This card always rises to the top of the draw deck after any shuffle or discard, and scores bonus points if drawn the same show it was discarded.	
E0172	catalog	CARD_CATALOG	The Amendment		Rare	skill;meta-effect;rule;collection	Attach any owned stamp to a rule card in the rules deck.	
E0173	catalog	CARD_CATALOG	The Anarchist		Epic	hazard;rule;secret	Boss: each submit, disables one of your beneficial rule cards for the rest of the show, in an order it chooses.	
E0174	catalog	CARD_CATALOG	The Apprentice		Rare	skill;meta-effect;growth;collection	Blank skill; each show it permanently learns the first effect it observes firing, up to three learned effects.	
E0175	catalog	CARD_CATALOG	The Avatar		Rare	stamp;info;secret	This card copies another deck card's name, class, and identity for all checks until it has scored 3 times, at which point it is unmasked.	
E0176	catalog	CARD_CATALOG	The Backward-Backward		Rare	skill;Acrobat;movement;combo	Cue: reverse the run direction of one column for the rest of the show, so descending counts as ascending and vice versa.	
E0177	catalog	CARD_CATALOG	The Balance		Legendary	hazard;formation;combo;secret	Final-tier boss: cannot be beaten by score; win by ending the show with row total and column total within 10% of each other.	
E0178	catalog	CARD_CATALOG	The Belt		Legendary	stamp;economy;persistence;secret	Exactly one card in the save file holds this stamp at a time; it scores double, and a Belt-challenge boss can take it and it must be won back.	
E0179	catalog	CARD_CATALOG	The Best Bower		Uncommon	pip;combo	This card counts as every suit for flush evaluation, but not for suit-stacking rules.	Added (added effect that it randomly acts as any prop from the game)
E0180	catalog	CARD_CATALOG	The Bishop		Uncommon	skill;freakshow;movement;destruction	May be placed onto any card along an open diagonal, capturing it; blocked by occupied slots between.	
E0181	catalog	CARD_CATALOG	The Blank		Common	pip;movement;freakshow	This card has no rank or suit: it can stack on anything and anything can stack on it, but it never melds and scores 0.	Added
E0182	catalog	CARD_CATALOG	The Blockhead		Common	skill;Escape Artist;prop;protection	Absorbs one Knife prop per show, banking it as flat points instead of being hit.	
