id,name,status,approved_effect,slot,class,family,class_group,variant,was_recommended,answer_state,owner_note,one_line_summary,provenance,option_a,option_b,option_c
Q0041,Lot Lice,unanswered,,rule,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Town rule: the first submit each show scores 0 fame,CARD_CATALOG,Town rule: the first submit each show scores nothing,Town rule: the first line completed in each grid scores nothing,Town rule: the first submit each show scores nothing and the second scores double
Q0042,Non-scoring bonus card,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Paid for not being used,random potential effects.csv:5,"If this card is not part of any scoring hand, it gives 10 points","If this card is not part of any scoring hand, it gives points equal to its rank","If this card is not part of any scoring hand this act, it gives 10 points and gains +1 rank"
Q0043,Obelisk,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Paid for not repeating yourself,balatro,"Gains a permanent multiplier for each consecutive act played without scoring your most-played hand, resetting when you do",Gains a permanent multiplier per act played without repeating any hand you have already scored this show,"Gains a permanent multiplier per consecutive act without your most-played hand, and keeps half of it through the reset"
Q0044,Score input cards on submit,unanswered,,rule,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,The Entrance scores too,random potential effects.csv:9,"On submit, the Entrance cards score as well as the board","On submit, the Entrance cards score at half value as well as the board","On submit, the Entrance cards score as a sixth line of their own"
Q0045,Supernova,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Paid by how often you have played it,balatro,Adds to the multiplier the number of times the scoring hand type has been played this run,Adds the number of times the scoring hand type has been played this show only,"Adds the number of times the hand has been played this run, and doubles if it is your most-played"
Q0046,The Chromatic,unanswered,,skill,A8,A - Scoring — the number itself,A8 - Negative scoring,,,,,Negative on alternate acts,cryptid,Applies a negative multiplier on every odd-numbered act and a positive one on every even,"Applies a negative multiplier on every odd act, and nothing on the even ones","Applies a negative multiplier on alternating acts, and you choose which act it starts on"
Q0047,The Negative,unanswered,,status,A8,A - Scoring — the number itself,A8 - Negative scoring,,,,,Props under it subtract score and add combo. (line 821),generated,"A card at negative rank spawns props that subtract score instead of adding it, and each one still raises the act's combo","A card at negative rank spawns props that subtract score, and they raise the combo by double","A card at negative rank subtracts score itself and raises the combo, but its props behave normally"
Q0048,Grock's Instrument,unanswered,,skill,A9,A - Scoring — the number itself,A9 - Deferred payout,,,,,"Each act this card would score, it instead hops one column away and banks the points; when it has no legal hop left, it scores everything banked at once",CARD_CATALOG,"Each act it would score, it hops one column instead and banks the points; when it cannot hop, it pays out the whole bank","Each act it would score, it banks the points instead; cue at any time to pay the bank out","Each act it would score, it hops one column and banks double; if another effect ever moves it, the bank is lost"
Q0049,Mid-show instant tips,unanswered,,rule,A9,A - Scoring — the number itself,A9 - Deferred payout,,,,,Tips paid on the spot,DESIGN_REFERENCES.md §A13 Korea & Southeast Asia,Overscoring a single meld pays out immediately rather than at show end,"Overscoring a single meld pays out immediately, at a worse rate than banking it would give","Overscoring a single meld pays out immediately, and you choose per meld whether to take it or bank it"
Q0050,Style flourish (Mie),unanswered,,skill,A9,A - Scoring — the number itself,A9 - Deferred payout,,,,,Holds the pose for the applause,DESIGN_REFERENCES.md §A6 Japan,A scored meld holds on screen a beat longer and pays extra tips,"A scored meld holds a beat longer and pays extra tips, and holding two in a row pays more","You may choose to hold a meld, delaying the next placement by a turn in exchange for extra tips"
Q0051,The Hunger Artist,unanswered,,skill,A9,A - Scoring — the number itself,A9 - Deferred payout,,,,,"Gains bonus points for every consecutive show it stays in the deck unplayed; when finally played and scored, pays it all at once and resets to zero",CARD_CATALOG,"Gains bonus points for each consecutive show it stays in the deck unplayed, pays it all when scored, then resets to zero","Gains bonus points for each consecutive show unplayed, pays out when scored, and keeps half the total through the reset","Gains bonus points per show unplayed with no cap, but is destroyed if it goes ten shows unplayed"
Q0052,The Instrument,unanswered,,skill,A9,A - Scoring — the number itself,A9 - Deferred payout,,,,,Keeps missing until it does not,DESIGN_REFERENCES.md §B5 Clowning Across Cultures,Moves away rather than scoring each time it would score; when finally played it scores everything it dodged,"Moves away rather than scoring, banking each dodge; cue at any time to cash the bank","Moves away rather than scoring, and each dodge raises what it eventually pays by more than the last"
Q0053,The Hat Line,unanswered,,skill,A10,A - Scoring — the number itself,A10 - Score conversion,,,,,"At show end, cue to convert the act's unused combo above the payout into Gold tokens instead of losing it",CARD_CATALOG,"At show end, cue to turn the act's unused combo into gold tokens rather than lose it","At show end, unused combo automatically becomes gold tokens","At show end, cue to turn unused combo into gold, or into a rank increase on one card, your choice"
Q0054,The Lecture,unanswered,,skill,A10,A - Scoring — the number itself,A10 - Score conversion,,,,,Turns flavour into fame,"DESIGN_REFERENCES.md §E The Fairground, Midway & Business","Converts a card's flavour text into fame, once per card",Converts a card's flavour text into fame each time that card scores,"Converts flavour text into fame, paying more for cards you have never scored before"
Q0055,Lemon Trophy,unanswered,,skill,A11,A - Scoring — the number itself,A11 - Floor / ceiling / rounding,,,,,The multiplier cannot outgrow the points,cryptid,The multiplier can never exceed the flat points it is multiplying,"The multiplier can never exceed the flat points, and any excess converts to flat points instead","The multiplier and the flat points are both clamped to whichever is lower, then both doubled"
Q0056,The Tax,unanswered,,rule,A11,A - Scoring — the number itself,A11 - Floor / ceiling / rounding,,,,,A ceiling on each act,cryptid,"Boss: each act's score is capped at a fraction of the goal, so no single act can win it","Boss: each act's score is capped at a fraction of the goal, and the cap rises each act","Boss: each act's score is capped, and anything above the cap is banked for the next act"
Q0057,Diversity-based scoring instead of combo,unanswered,,rule,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,Variety as its own axis,gam draft.txt:1024,"The act's payout scales with how many distinct suits and types are on the board, alongside the combo","The act's payout scales with distinct suits and types instead of the combo, replacing it","The act's payout scales with distinct suits and types, and the combo scales with distinct effects, multiplying together"
Q0058,Flea Circus,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"When scored, counts as five rank-1 cards for combo-counting purposes (not points)",CARD_CATALOG,"When scored, counts as five separate triggers for the combo without adding any points","When scored, counts as one extra trigger for each card in its line, without adding points","When scored, counts as five separate triggers, and each one can be amplified by retrigger effects"
Q0059,Grand Spec,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"If all columns scored a meld this act, doubles the act's combo multiplier",CARD_CATALOG,"If every column scored a meld this act, the act's combo doubles","If every row and every column scored a meld this act, the act's combo triples",The act's combo is multiplied by the number of columns that scored a meld
Q0060,Presentation,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"While spotlit, each time a placed card's rank is higher than the last card placed, gain +1 combo for the act",CARD_CATALOG,"While spotlit, each placed card of higher rank than the last placed card adds +1 combo for the act","While spotlit, an unbroken ascending sequence of placements adds +1 combo per placement, and any drop resets it","While spotlit, each placed card of higher rank than the last adds +1 combo, and each lower one removes 1"
Q0061,Spangle,unanswered,,stamp,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"The first time this card is part of any scored meld each act, it adds +1 to the act's combo",CARD_CATALOG,"The first time this card is part of a scored meld each act, it adds +1 to the act's combo","Every time this card is part of a scored meld, it adds +1 to the act's combo","The first time this card is part of a scored meld each act, it adds +1 combo for each distinct suit in that meld"
Q0062,The Calliope,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,Gains +1 combo for every different class that scored this act,CARD_CATALOG,Gains +1 combo for every different class that scored this act,"Gains +1 combo for every different class on the grid, whether or not it scored","Gains +1 combo per class that scored, and double that if every class on the grid scored"
Q0063,The Dramaturg,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"Rewrites one card's combo identity so each of its triggers registers a fresh combo key every time this act, instead of only on first activation",CARD_CATALOG,"Rewrites one card's combo identity so each of its triggers registers a fresh combo key this act, instead of only the first",Rewrites every card's combo identity so each trigger registers a fresh combo key this act,"Rewrites one card's combo identity permanently, so its triggers always register fresh combo keys"
Q0064,The Exchange Rate,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"At act end, cue to convert unused combo above 3 into flat points at a fixed rate, or spend points to pre-register +1 combo for the next act",CARD_CATALOG,"At act end, cue to turn unused combo above 3 into flat points at a fixed rate, or spend points to pre-register +1 combo for the next act","At act end, unused combo above 3 automatically becomes flat points at a fixed rate","At act end, cue to bank unused combo, carrying it into the next act instead of converting it"
Q0065,The Forty-Two,unanswered,,rule,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"Hidden rule: when a row's score plus its column's score totals exactly 42, the act's combo gains +3",CARD_CATALOG,"Hidden rule: when a row's score plus its column's score totals exactly 42, the act's combo gains +3","Hidden rule: when a row's score plus its column's score totals a specific number reseeded each run, the act's combo gains +3","Hidden rule: when a row's score and its column's score are exactly equal, the act's combo gains +3"
Q0066,The System,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"Paid by the combo, and shy of inspection",CARD_CATALOG,"After each act, gains bonus points scaled to that act's combo; any inspection effect halves the bonus permanently","After each act, gains bonus points scaled to that act's combo, with no downside","After each act, gains bonus points scaled to the combo; being inspected halves it, and it recovers one step per show uninspected"
Q0067,Zooble,unanswered,,skill,A12,A - Scoring — the number itself,A12 - Combo-counter manipulation,,,,,"Paid for rank variety, unless it is a run",cryptid,"Gains a multiplier per distinct rank in the scoring line, unless that line is a straight","Gains a multiplier per distinct rank in the scoring line, always","Gains a multiplier per distinct rank and per distinct suit in the scoring line, unless it is a straight or a flush"
Q0068,Drumroll,unanswered,,skill,A13,A - Scoring — the number itself,A13 - Comparative scoring,,,,,The last meld scored each act gets a bonus multiplier,CARD_CATALOG,The last line scored in each act pays double,The highest-scoring line of each act pays double,The lowest-scoring line of each act is re-scored as though it were the highest
Q0069,The First Juggler,unanswered,,skill,A13,A - Scoring — the number itself,A13 - Comparative scoring,,,,,The oldest trick there is,DESIGN_REFERENCES.md §A1 The Ancient World,Scores a bonus for completing the simplest possible meld,"Scores a bonus for completing the simplest meld, growing each time you do it again","Scores a bonus for completing the lowest-scoring meld of the act, so the worst hand pays"
Q0070,The Odd Couple,unanswered,,skill,A13,A - Scoring — the number itself,A13 - Comparative scoring,,,,,The extremes of the row pay each other,CARD_CATALOG,The lowest- and highest-ranked cards in this card's row pay each other bonus points when the row scores,The lowest- and highest-ranked cards in this card's row pay each other bonus points scaling with the gap between them,"In every line this card belongs to, the highest and lowest cards pay each other bonus points"
Q0071,The Comeback,unanswered,,skill,A14,A - Scoring — the number itself,A14 - Progress-relative,,,,,Stronger the further behind you are,generated,Scores a multiplier scaling with how far below the goal you currently are,"Scores a multiplier scaling with how far behind you are, and nothing once you are ahead","Scores a multiplier scaling with how far behind you are at the START of each act, so catching up early costs you"
Q0072,The Front-Runner,unanswered,,skill,A14,A - Scoring — the number itself,A14 - Progress-relative,,,,,Stronger once you are already winning,generated,"Scores a multiplier once you are past the goal, scaling with the overshoot","Scores a multiplier once you are past halfway to the goal, fixed","Scores a multiplier past the goal, and the overshoot it earns is banked as fame rather than points"
Q0073,The Handicapper,unanswered,,rule,A14,A - Scoring — the number itself,A14 - Progress-relative,,,,,The board reads the scoreboard,generated,Rule: every effect that scales reads the gap to the goal as its scaling input,"Rule: every effect that scales reads the gap to the goal, but only in the final act",Rule: falling far enough behind switches the whole board to a stronger set of defaults for that show
Q0074,The Photo Finish,unanswered,,skill,A14,A - Scoring — the number itself,A14 - Progress-relative,,,,,Pays for landing exactly,generated,"Pays an enormous bonus for finishing a show within a hair of the goal, and nothing for overshooting",Pays a bonus scaling inversely with how far past the goal you finish,"Pays an enormous bonus for finishing exactly on the goal, to the point"
Q0075,Adjacency-required marriage melds,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,Melds that need true adjacency,gam draft.txt:1385,"Marriage melds require the cards to be exactly adjacent, not merely in the same line","Marriage melds require exact adjacency, and diagonal adjacency counts double","Marriage melds require exact adjacency, and any two adjacent cards that pair score as a meld of their own"
Q0076,Beehive four-of-a-kind removal,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,Take four of a kind off the board,gam draft.txt:1427,Any four of a kind on the grid may be removed together for a bonus,"Any four of a kind on the grid may be removed together, scoring as a meld and freeing the cells","Any four of a kind may be removed, and doing so pulls four new cards into the Entrance"
Q0077,Blackjack bust rule,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,Twenty-one exactly,gam draft.txt:1406,A line whose ranks total exactly 21 scores as its own meld; going over scores nothing,"A line whose ranks total exactly 21 scores as its own meld, alongside its poker hand","A line totalling exactly 21 scores as a meld, and the closest line to 21 without going over scores as well"
Q0078,Bulwark,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,A hand made of rankless cards,cryptid,"A new hand: five rankless, suitless cards score as a large flat meld","A new hand: five rankless cards score as a large meld, and each blank card in your deck raises it",A new hand: any five cards that share no rank and no suit at all score as a meld
Q0079,Clusterfuck/Cluster,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,A hand made of nothing matching,cryptid,"A new hand: eight or more cards containing no pair, no flush and no straight score as a large meld","A new hand: a full line containing no pair, flush or straight scores as a large meld",A new hand: a line where no two cards share a rank or a suit scores as a large meld
Q0080,Cribbage phase-1 stack-to-31,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,Build to thirty-one,gam draft.txt:1393,"A running total builds across placements up to 31, scoring at exact totals along the way","A running total builds across placements up to 31; hitting exactly 31 scores, and overshooting resets it","A running total builds per line rather than per show, scoring at exact totals along the way"
Q0081,Cribbage-style scoring,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,Cribbage counting,DESIGN_DOC.md §5 Scoring v1 (cribbage),"Face cards count as 10; score 2 per 15-sum, 2 per 31-sum, 2 per pair, 6 per triple, 12 per quad, and 3 to 7 for runs","Face cards count as 10, and only the 15-sums score, at 2 each",Face cards count as 10; the cribbage counts score alongside poker hands rather than replacing them
Q0082,Flower Pot,unanswered,,rule,B1,B - Melds — what counts as a hand,B1 - New meld types,,,,,One of every suit,balatro,A line containing one card of every suit scores as its own meld,"A line containing one card of every suit scores as its own meld, ranked above a flush","A line containing one card of every suit scores as a meld, and the more suits the game has the more it pays"
